Business Name,Physical Address Number,Physical Address,Physical City,Physical State,Phone,Latitude,Longitude,Primary SIC Description
Nancy's Air Field Cafe,302,302 Boxboro Rd Ste 5,Stow,MA,(978) 897-3934,42.461799,-71.517438,Restaurants
Sonsie Restaurant,327,327 Newbury St,Boston,MA,(617) 351-2500,42.348783,-71.086205,Restaurants
Chili's Grill & Bar,107,107 Taunton St,Plainville,MA,(508) 695-5105,42.032601,-71.311904,Restaurants
Area Four,500,500 Technology Sq Fl 4,Cambridge,MA,(617) 758-4444,42.3634028,-71.0925412,Restaurants
Sweet Cheeks BBQ,1381,1381 Boylston St,Boston,MA,(617) 266-1300,42.343877,-71.101198,Restaurants
Tosca,14,14 North St,Hingham,MA,(781) 740-0080,42.244557,-70.884902,Restaurants
Shea's Riverside Restaurant & Bar,122,122 Main St,Essex,MA,(978) 768-6931,42.630893,-70.774478,Restaurants
Tony C's Seaport,250,250 Northern Ave Ste 100,Boston,MA,(617) 856-7369,42.348947,-71.03836,Restaurants
Ninety Nine Restaurant & Pub,13,13 Commonwealth Ave,Concord,MA,(978) 369-0300,42.456391,-71.392892,Restaurants
Telly's Restaurant & Pizza,235,235 Calef Hwy,Epping,NH,(603) 679-8225,43.03971965,-71.06588118,Restaurants
Beverly Depot Restaurant,10,10 Park St,Beverly,MA,(978) 927-5402,42.54690565,-70.88538974,Restaurants
Alden Park Bar and Grill,160,160 Colony Place Rd,Plymouth,MA,(508) 830-6777,41.9540978,-70.7127207,Restaurants
Libbys Bar & Grill,47,47 Main St,Durham,NH,(603) 868-5542,43.1338143,-70.9256374,Restaurants
Oar House,55,55 Ceres St,Portsmouth,NH,(603) 436-4025,43.07898108,-70.75818098,Restaurants
Hooters,850,850 Providence Hwy,Dedham,MA,(781) 326-6600,42.235177,-71.178288,Restaurants
South End Buttery,314,314 Shawmut Ave,Boston,MA,(617) 482-1015,42.342091,-71.070336,Restaurants
Helens Restaurant,17,17 Main St,Concord,MA,(978) 369-9885,42.459859,-71.3509909,Restaurants
Craigie On Main Restaurant & Bar,853,853 Main St,Cambridge,MA,(617) 497-5511,42.36353,-71.098626,Restaurants
Tempo,474,474 Moody St,Waltham,MA,(781) 891-9000,42.367935,-71.236964,Restaurants
Sunset Cantina,916,916 Commonwealth Ave,Boston,MA,(617) 731-8646,42.350906,-71.116865,Restaurants
Magnolia Smokehouse,6,6 Harvard Sq,Brookline,MA,(617) 566-3782,42.3331176,-71.1184866,Restaurants
West On Centre,1732,1732 Centre St,West Roxbury,MA,(617) 323-4199,42.2870973,-71.1497712,Restaurants
Noon Hill Grill,530,530 Main St,Medfield,MA,(508) 359-9155,42.185647,-71.307893,Restaurants
Venezia Waterfront Restaurant & Banquet Facility,20,20 Ericsson St,Dorchester,MA,(617) 436-3120,42.291745,-71.04032,Restaurants
Coach Stop Restaurant,176,176 Mammoth Rd,Londonderry,NH,(603) 437-2022,42.847147,-71.361675,Restaurants
Garrisons Bar & Grill,303,303 Boston Rd,North Billerica,MA,(978) 670-1202,42.571624,-71.277905,Restaurants
Melting Pot,213,213 Burlington Rd Ste 100,Bedford,MA,(781) 271-0111,42.501306,-71.235498,Restaurants
Saphire Event Group,1601,1601 Main St,Walpole,MA,(508) 668-8071,42.1263528,-71.269207,Restaurants
Bambara Kitchen & Barcambridge,25,25 Edwin H Land Blvd,Cambridge,MA,(617) 868-4444,42.368026,-71.075255,Restaurants
Ninety Nine Restaurant & Pub,428,428 Lincoln St,Hingham,MA,(781) 740-8599,42.247967,-70.925831,Restaurants
