Business Name,Physical Address Number,Physical Address,Physical City,Physical State,Phone,Latitude,Longitude,Primary SIC Description,
"Golden Temple","1651","1651 Beacon St","Brookline","MA","(617) 277-9722","42.3387401","-71.1362747","Restaurants",
"Myers & Chang","1145","1145 Washington St Ste 1","Boston","MA","(617) 542-5200","42.343871","-71.066367","Restaurants",
"Honeygrow","1282","1282 Boylston St","Boston","MA","(857) 991-1647","42.344634","-71.096692","Restaurants",
"Fitzy's Pub","1","1 Man Mar Dr Unit 1","Plainville","MA","(508) 699-2532","42.008396","-71.30506","Restaurants",
"Fire Ice Restaurant","205","205 Berkeley St","Boston","MA","(617) 482-3473","42.3506673","-71.0724912","Restaurants",
"Crudo","78","78 Salem St","Boston","MA","(617) 367-6500","42.363691","-71.055914","Restaurants",
"Snappy Pattys","454","454 High St","Medford","MA","(781) 219-4804","42.4209394866939","-71.1316699849777","Restaurants",
"Spice & Rice","1933","1933 Massachusetts Ave","Cambridge","MA","(617) 864-4500","42.3896609","-71.119914","Restaurants",
"Oishii Boston","1166","1166 Washington St Ste 110","Boston","MA","(617) 482-8868","42.343406","-71.066023","Restaurants",
"Hanmaru Restaurant","168","168 Harvard Ave","Allston","MA","(617) 779-7907","42.351385","-71.131356","Restaurants",
"Pizza Palace","711","711 Washington St","Norwood","MA","(781) 769-4445","42.192284","-71.2021649","Restaurants",
"Swanton Street Diner","72","72 Swanton St","Winchester","MA","(781) 721-9666","42.4594911","-71.1323936","Restaurants",
"Mug-N-Muffin Breakfast","716","716 Washington St","Norwood","MA","(781) 762-8927","42.192102","-71.2018949","Restaurants",
"Blue Dragon","324","324 A St","Boston","MA","(857) 265-2444","42.34939","-71.049734","Restaurants",
"Takara","151","151 Linden St","Wellesley","MA","(781) 235-9888","42.2991967","-71.2931671","Restaurants",
"Gqs Bun","57","57 Jfk St","Cambridge","MA","(617) 868-0981","42.37212","-71.120892","Restaurants",
"Harveys Hot Pot","390","390 Main St","Malden","MA","(781) 605-2558","42.426174","-71.067778","Restaurants",
"Umi Fine Japanese & Asian Cuisine","475","475 Winter St","Waltham","MA","(781) 890-9645","42.398211","-71.263994","Restaurants",
"3 Country Bistro","379","379 Main St","Woburn","MA","(781) 376-8030","42.479874","-71.1517","Restaurants",
"L&C Asian Restaurant","49","49 Billings Rd","Quincy","MA","(617) 328-3288","42.273597","-71.024616","Restaurants",
"Osaka Asian Bistro","34","34 Broad St","Merrimac","MA","(978) 346-7188","42.8325817","-71.0008426","Restaurants",
"Feng's Asian Cuisine","963","963 Main St","Wakefield","MA","(781) 587-0083","42.481831288131","-71.065959835441","Restaurants",
"Mandarin Asian Bistro","24","24 Market St","Lowell","MA","(978) 677-6777","42.644167","-71.308762","Restaurants",
"Chicken and Rice Guys","64","64 Salem St","Medford","MA","(914) 473-0622","42.418827","-71.106927","Restaurants",
"Go Go Curry","581","581 Massachusetts Ave","Cambridge","MA","(617) 876-5555","42.3654844","-71.1021199","Restaurants",
"WooRi Restaurant","9","9 Medford St","Arlington","MA","(781) 648-4781","42.414937","-71.150656","Restaurants",
"Kashin Garden Restaurant","10","10 Dinley St","Dracut","MA","(978) 957-5588","42.6666012","-71.3224786","Restaurants",
"L&L Noodle Inc","22","22 Willow St","Chelsea","MA","(617) 889-6888","42.3868299","-71.027959","Restaurants",
"Ichiban Yakitori House","14","14 Westland Ave","Boston","MA","(617) 236-7907","42.343218","-71.086737","Restaurants",
"Honeygrow","100","100 Northern Ave","Boston","MA","(857) 350-3642","42.3523709","-71.0435409","Restaurants",
"Karma","105","105 Thoreau St","Concord","MA","(978) 776-6631","42.4565888","-71.3568556","Restaurants",
"Smack Noodle","45","45 Main St","Maynard","MA","(978) 252-4665","42.432518","-71.452306","Restaurants",
"Jin's Fine Asian Cuisine","329","329 Harvard St","Brookline","MA","(617) 487-8238","42.343807","-71.123578","Restaurants",
"Curry N Wok","2378","2378 Massachusetts Ave","Cambridge","MA","(857) 259-6552","42.396692","-71.129822","Restaurants",
"Feng Shui","2200","2200 District Ave # 0","Burlington","MA","(781) 362-4653","42.4848444","-71.2108272","Restaurants",
"Bon Me","441","441 Stuart St Ste L1","Boston","MA","(857) 233-2607","42.348279","-71.075582","Restaurants",
"Bon Me","1350","1350 Massachusetts Ave","Cambridge","MA","(617) 665-5177","42.373015","-71.118283","Restaurants",
"Heavenly Donuts","579","579 Main St","Wilmington","MA","(978) 447-5378","42.542947","-71.169103","Restaurants",
"Red Heat Tavern","300","300 Lowell St","Wilmington","MA","(978) 447-5669","42.5395212","-71.1410704","Restaurants",
"Nine Bar Espresso","11","11 Holland St","Somerville","MA","(617) 764-1915","42.3971305","-71.1228129","Restaurants",
"Lavender Asian Cuisine & Bar","519","519 Boston Post Rd","Sudbury","MA","(978) 579-9988","42.359155","-71.4298603","Restaurants",
"Rice Bowl","154","154 Harvard Ave","Allston","MA","(617) 267-2828","42.3517347","-71.1314612","Restaurants",
"Oyummy Asian Bistro","253","253 Lincoln Ave","Haverhill","MA","(978) 891-5219","42.7627377","-71.0380697","Restaurants",
"Oregon Club","117","117 Oregon Rd","Ashland","MA","(508) 875-9030","42.2847","-71.490808","Restaurants",
"Zaz Restaurant","1238","1238 River St","Hyde Park","MA","(617) 276-3729","42.2558068","-71.1229909","Restaurants",
"Blue State Coffee","155","155 Seaport Blvd Ste 170","Boston","MA","(857) 250-2484","42.3503673448813","-71.0429529828256","Restaurants",
"Farmer in the Dell","935","935 East St","Walpole","MA","(508) 921-3647","42.1472832","-71.2512534","Restaurants",
"Breakfast Cafe","695","695 S Main St","Haverhill","MA","(978) 521-1755","42.7597279","-71.0973583","Restaurants",
"Anthonys Italian Specialties","408","408 Main St","Stoneham","MA","(781) 438-9840","42.478695","-71.099989","Restaurants",
