Business Name,Physical Address Number,Physical Address,Physical City,Physical State,Phone,Latitude,Longitude,Primary SIC Description,
"Tbonz","22","22 Main St","Plymouth","MA","(508) 747-2667","41.9561702","-70.6644479","Restaurants",
"Sweet Cheeks BBQ","1381","1381 Boylston St","Boston","MA","(617) 266-1300","42.343877","-71.101198","Restaurants",
"Magnolia Smokehouse","6","6 Harvard Sq","Brookline","MA","(617) 566-3782","42.3331176","-71.1184866","Restaurants",
"Village Smokehouse","98","98 Middle St","Lowell","MA","(978) 441-2278","42.6450109","-71.310356","Restaurants",
"Konditor Meister","32","32 Wood Rd","Braintree","MA","(781) 849-1970","42.225762","-71.033515","Restaurants",
"Wings Over Farmingham","624","624 Waverley St","Framingham","MA","(508) 628-9464","42.274077","-71.424961","Restaurant Management",
"Lyndells Bakery","720","720 Broadway","Somerville","MA","(617) 625-1793","42.399959","-71.112976","Restaurants",
"Smokey Bones","431","431 Middlesex Rd","Tyngsboro","MA","(978) 649-5410","42.697486","-71.43908","Restaurants",
"Horseshoe Grille","226","226 Main St","North Reading","MA","(978) 664-3591","42.587819","-71.116183","Restaurants",
"Elias Country Store","381","381 Middlesex Ave","Wilmington","MA","(978) 658-4401","42.569659","-71.15849","Restaurants",
"Smokey Bones","301","301 Technology Center Dr","Stoughton","MA","(781) 297-5225","42.1569704","-71.0654335","Restaurants",
"Big Dog Sports Grille","178","178 Main St","North Reading","MA","(978) 664-9889","42.583081","-71.11344","Restaurants",
"Back Deck","2","2 West St","Boston","MA","(617) 670-0320","42.354492","-71.062235","Restaurants",
"Wu ER By Wow Barbecue","320","320 Washington St","Brookline","MA","(617) 566-8858","42.3332186","-71.1201747","Restaurants",
"Surfside Smokehouse","14","14 Union St","Plymouth","MA","(508) 927-4111","41.955916","-70.66121","Restaurants",
"Pruller Restaurant","514","514 Lincoln St","Marlborough","MA","(508) 480-8825","42.344237","-71.562385","Restaurants",
"Mo Jo's BBQ Shack","212","212 Islington St","Portsmouth","NH","(603) 436-6656","43.073762","-70.764493","Restaurants",
"Bison County BBQ & Grille","275","275 Moody St","Waltham","MA","(781) 642-9720","42.371436","-71.237247","Restaurants",
"Wing Itz","2100","2100 Lafayette Rd","Portsmouth","NH","(603) 436-9464","43.0370063","-70.7788028","Restaurants",
"Wildfire Barbecue","20","20 Pleasant St","Millis","MA","(508) 376-5810","42.162506","-71.365684","Restaurants",
"Creations Cafe","400","400 Main St","Wakefield","MA","(781) 246-2550","42.5034777","-71.0700517","Restaurants",
"Ali's Roti Restaurant","1188","1188 Blue Hill Ave","Mattapan","MA","(617) 298-9850","42.283771","-71.09129","Restaurants",
"Redneck's Roast Beef","140","140 Brighton Ave","Allston","MA","(617) 782-9444","42.352727","-71.131679","Restaurants",
"Blackstrap Barbeque","47","47 Woodside Ave","Winthrop","MA","(617) 207-1783","42.3746052","-70.9869405","Restaurants",
"Quick Pic BBQ LLC","50","50 Beach St","Boston","MA","(617) 426-1110","42.351537","-71.060732","Restaurants",
"Aks","309","309 D St","South Boston","MA","(617) 269-3500","42.3397922","-71.0492918","Restaurants",
"Best Bar-B-Que Kitchen Inc","86","86 Beach St","Boston","MA","(617) 399-0285","42.351089","-71.058814","Restaurants",
