Business Name,Physical Address Number,Physical Address,Physical City,Physical State,Phone,Latitude,Longitude,Primary SIC Description,
"West On Centre","1732","1732 Centre St","West Roxbury","MA","(617) 323-4199","42.2870973","-71.1497712","Restaurants",
"IHOP","115","115 Parkingway","Quincy","MA","(617) 770-9414","42.246459","-71.003211","Restaurants",
"IHOP","105","105 Squire Rd","Revere","MA","(781) 289-6012","42.4230202","-71.0079839","Restaurants",
"IHOP","95","95 Main St","Tewksbury","MA","(978) 640-8950","42.62547","-71.268588","Restaurants",
"Donut Management","527","527 Lowell St","Peabody","MA","(978) 535-9350","42.5456877","-70.9808736","Restaurant Management",
"IHOP","114","114 Broadway Ste 3","Saugus","MA","(781) 233-4097","42.494404","-71.01578","Restaurants",
"Strawberry Fair Restaurant","14","14 Pond St","Norwell","MA","(781) 878-7878","42.173906","-70.884925","Restaurants",
"Jitter's Cafe","12","12 Main St","Melrose","MA","(781) 605-2578","42.4411068119181","-71.0681172101457","Restaurants",
"Brothers Restaurant","404","404 Harvard St","Brookline","MA","(617) 383-6268","42.345036","-71.126841","Restaurants",
"Crossroads Cafe","405","405 Nagog Park","Acton","MA","(978) 263-9733","42.5229857","-71.4321318","Restaurants",
"Nathaniel's Restaurant","18","18 Washington Sq","Salem","MA","(978) 825-4311","42.5227841","-70.8897486","Restaurants",
"Newcomb Farms Family Restaurant","1139","1139 Randolph Ave","Milton","MA","(617) 698-9547","42.229172","-71.071979","Restaurants",
"Village Inn","544","544 Broadway Rd","Dracut","MA","(978) 459-4114","42.683569","-71.282216","Restaurants",
"Johnnys Luncheonette","30","30 Langley Rd","Newton Center","MA","(617) 527-3223","42.330995","-71.193009","Restaurants",
"MaryAnn's Diner","29","29 E Broadway","Derry","NH","(603) 434-5785","42.8814274805512","-71.3248707149277","Restaurants",
"Venetian Inc","909","909 Broad St","East Weymouth","MA","(781) 337-4363","42.215334","-70.923505","Restaurants",
"Olympia Restaurant","453","453 Market St","Lowell","MA","(978) 452-8092","42.646366","-71.316209","Restaurants",
"Winsor House Inn","390","390 Washington St","Duxbury","MA","(781) 934-0991","42.0357894","-70.6730028","Restaurants",
