Business Name,Physical Address Number,Physical Address,Physical City,Physical State,Phone,Latitude,Longitude,Primary SIC Description,
"McDonald's","40","40 Enon St Ste 5","Beverly","MA","(978) 922-1884","42.5865229","-70.885745","Restaurants",
"Applebee's Neighborhood Grill & Bar","214","214 Broadway","Saugus","MA","(781) 231-0137","42.487781","-71.016801","Restaurants",
"Wendy's","806","806 Main St","Waltham","MA","(781) 899-2795","42.376044","-71.242621","Restaurants",
"McDonald's","346","346 Great Rd","Bedford","MA","(781) 275-8746","42.485169","-71.2600764","Restaurants",
"Applebee's Neighborhood Grill & Bar","50","50 Independence Way","Danvers","MA","(978) 777-5447","42.549517","-70.941303","Restaurants",
"McDonald's","14","14 E Clark St","Middleboro","MA","(508) 947-7057","41.884018","-70.917812","Restaurants",
"McDonald's","290","290 Worcester St","Natick","MA","(508) 653-1809","42.301747","-71.337105","Restaurants",
"Burger King","4594","4594 Washington St","Roslindale","MA","(617) 323-8739","42.2762267972074","-71.1391679548735","Restaurants",
"Burger King","150","150 Everett Ave","Chelsea","MA","(617) 884-0619","42.3955957","-71.0402883","Restaurants",
"McDonald's","912","912 Central Ave","Dover","NH","(603) 742-9813","43.2198848","-70.8856908","Restaurants",
"Burger King","100","100 Washington St","Dorchester","MA","(617) 427-1535","42.305953","-71.080321","Restaurants",
"McDonald's","I-90","Mass Pike I-90 Srvc Area 8e Milepost 117","Natick","MA","(508) 651-1687","42.29129","-71.35783","Restaurants",
"Ninety Nine Restaurant & Pub","13","13 Commonwealth Ave","Concord","MA","(978) 369-0300","42.456391","-71.392892","Restaurants",
"McDonald's","143","143 Samoset St","Plymouth","MA","(508) 746-9885","41.9529636","-70.6863796","Restaurants",
"McDonald's","110","110 Pleasant Valley St","Methuen","MA","(978) 687-9831","42.7437907","-71.1510911","Restaurants",
"McDonald's","567","567 Lynnway","Lynn","MA","(781) 598-1894","42.4555147","-70.9595436","Restaurants",
"McDonald's","45","45 Crystal Ave","Derry","NH","(603) 432-2231","42.8906446","-71.3266393","Restaurants",
"McDonald's","291","291 N Main St","Rochester","NH","(603) 332-6829","43.311005","-70.992016","Restaurants",
"McDonald's","210","210 Andover St Ste F111","Peabody","MA","(978) 977-3694","42.5413325","-70.9439351","Restaurants",
"McDonald's","422","422 Washington St","Stoughton","MA","(781) 344-0489","42.1345146","-71.1010486","Restaurants",
"McDonald's","870","870 Massachusetts Ave","Boston","MA","(617) 442-4349","42.331524","-71.07035","Restaurants",
"McDonald's","718","718 American Legion Hwy","Roslindale","MA","(617) 323-7027","42.2828546","-71.11359","Restaurants",
"McDonald's","56","56 Calef Hwy","Epping","NH","(603) 679-8544","43.0282805175897","-71.073947038972","Restaurants",
"McDonald's","31","31 Providence Hwy","Norwood","MA","(781) 352-4414","42.2124386231276","-71.1832412034959","Restaurants",
"McDonald's","55","55 Great Rd","Acton","MA","(978) 264-2062","42.47589","-71.409329","Restaurants",
"McDonald's","178","178 Border St","East Boston","MA","(617) 567-9374","42.3745047","-71.0402152","Restaurants",
"McDonald's","301","301 Warren St","Roxbury","MA","(617) 442-6698","42.320367","-71.082202","Restaurants",
"McDonald's","225","225 S Broadway","Salem","NH","(603) 898-7923","42.763551","-71.215504","Restaurants",
"McDonald's","1000","1000 Lafayette Rd","Portsmouth","NH","(603) 436-3127","43.049428","-70.771608","Restaurants",
"McDonald's","5","5 Long Pond Rd Ste A","Plymouth","MA","(508) 747-9615","41.9336745249384","-70.6577641404519","Restaurants",
"McDonald's","1223","1223 Commonwealth Ave","Allston","MA","(617) 562-1313","42.3507101","-71.1309674","Restaurants",
"McDonald's","343","343 Cochituate Rd","Framingham","MA","(508) 879-1650","42.3028491","-71.4009097","Restaurants",
"McDonald's","9","9 Taunton St","Plainville","MA","(508) 695-9826","42.010012","-71.304515","Restaurants",
"McDonald's","161","161 S Main St","Middleton","MA","(978) 539-8818","42.5831255","-71.0067514","Restaurants",
"McDonald's","15","15 Crawford St","Needham Heights","MA","(781) 400-1815","42.3070821","-71.2282537","Restaurants",
"McDonald's","710","710 Lafayette Rd","Seabrook","NH","(603) 474-8361","42.894453","-70.871038","Restaurants",
"McDonald's","10","10 Post Office Sq","Boston","MA","(617) 850-9054","42.357489","-71.055591","Restaurants",
"McDonald's","43","43 Thorndike St","Cambridge","MA","(617) 608-1410","42.3697392","-71.0791279","Restaurants",
"McDonald's","273","273 Boston Rd","Billerica","MA","(978) 667-9174","42.55344","-71.25763","Restaurants",
"McDonald's","114","114 Broadway","Malden","MA","(781) 322-4443","42.4270531","-71.0417932","Restaurants",
"McDonald's","1750","1750 Soldiers Field Rd","Brighton","MA","(617) 202-6036","42.3586722","-71.1548866","Restaurants",
"McDonald's","340","340 Longwood Ave # 350","Boston","MA","(617) 566-4888","42.3381973","-71.1064812","Restaurants",
"Ninety Nine Restaurant & Pub","428","428 Lincoln St","Hingham","MA","(781) 740-8599","42.247967","-70.925831","Restaurants",
"IHOP","115","115 Parkingway","Quincy","MA","(617) 770-9414","42.246459","-71.003211","Restaurants",
"IHOP","105","105 Squire Rd","Revere","MA","(781) 289-6012","42.4230202","-71.0079839","Restaurants",
"Ninety Nine Restaurant & Pub","20","20 Cummings St","Somerville","MA","(617) 629-0599","42.393955","-71.083764","Restaurants",
"Wendy's","191","191 Newport Ave","Quincy","MA","(617) 472-2983","42.26906","-71.023884","Restaurants",
"McDonald's","1650","1650 Vfw Pkwy","West Roxbury","MA","(617) 325-2709","42.264472","-71.1677753","Restaurants",
"Wendy's","520","520 Southern Artery","Quincy","MA","(617) 472-3981","42.25388","-70.993974","Restaurants",
"McDonald's","10","10 Freetown Rd","Raymond","NH","(603) 895-9396","43.035934","-71.163966","Restaurants",
"McDonald's","77","77 High St","Danvers","MA","(978) 762-0902","42.561202","-70.932812","Restaurants",
