Business Name,Physical Address Number,Physical Address,Physical City,Physical State,Phone,Latitude,Longitude,Primary SIC Description,
"Popeyes Louisiana Kitchen","85","85 Parkhurst Rd","Chelmsford","MA","(978) 856-7079","42.625264","-71.359675","Restaurants",
"Darryls Corner Bar","604","604 Columbus Ave","Boston","MA","(617) 536-1100","42.339761","-71.082403","Restaurants",
"Popeyes Louisiana Kitchen","200","200 Westgate Dr","Brockton","MA","(508) 559-1520","42.0955773","-71.0520278","Restaurants",
"Popeyes Louisiana Kitchen","1886","1886 Revere Beach Pkwy","Everett","MA","(617) 387-7300","42.402315","-71.049921","Restaurants",
"Le Foyer Bakery","132","132 Babson St","Mattapan","MA","(617) 298-0535","42.2702409","-71.0926823","Restaurants",
"Popeyes Louisiana Kitchen","710","710 American Legion Hwy","Roslindale","MA","(617) 477-8252","42.282984","-71.112837","Restaurants",
"Popeyes Louisiana Kitchen","481","481 S Broadway","Salem","NH","(603) 458-5564","42.744916","-71.200358","Restaurants",
"Popeyes Louisiana Kitchen","330","330 Martin Luther King Blvd","Roxbury","MA","(617) 442-3545","42.318573","-71.082889","Restaurants",
"Popeyes Louisiana Kitchen","180","180 Boston St","Lynn","MA","(781) 215-6936","42.4711685","-70.9585994","Restaurants",
"Popeyes Louisiana Kitchen","694","694 Crescent St","Brockton","MA","(774) 223-5059","42.0812260736369","-70.9911729174188","Restaurants",
"Popeyes Louisiana Kitchen","572","572 Washington St","Dorchester Center","MA","(617) 514-4316","42.291594","-71.07147","Restaurants",
"Border Cafe","819","819 Broadway","Saugus","MA","(781) 233-5308","42.4751774","-71.0243795","Restaurants",
"Divine Merci Restaurant","1296","1296 Blue Hill Ave","Mattapan","MA","(617) 296-1300","42.279338","-71.092764","Restaurants",
"Highland Creole Cuisine","2","2 Highland Ave","Somerville","MA","(617) 625-8333","42.384384","-71.092609","Restaurants",
