Business Name,Physical Address Number,Physical Address,Physical City,Physical State,Phone,Latitude,Longitude,Primary SIC Description,
"Tamboo Bistro","252","252 Main St","Brockton","MA","(508) 584-8585","42.080385","-71.019948","Restaurants",
"Green Street","280","280 Green St","Cambridge","MA","(617) 876-1655","42.364537","-71.104154","Restaurants",
"Caribbean Rhythm","736","736 Blue Hill Ave","Dorchester","MA","(617) 533-7042","42.2997441","-71.0860606","Restaurants",
"Tasty Momo","503","503 Medford St","Somerville","MA","(617) 764-0199","42.396341","-71.1033527","Restaurants",
"Great Chow","17","17 Beale St","Quincy","MA","(617) 328-1338","42.2675743","-71.0168673","Restaurants",
"Lala Caribbean Restaurant","792","792 Washington St","Boston","MA","(617) 265-8171","42.3499415393477","-71.0633060177678","Restaurants",
"Balis","59","59 Essex St","Lawrence","MA","(978) 725-0101","42.707953","-71.154892","Restaurants",
"Flames Restaurant","469","469 Blue Hill Ave","Dorchester","MA","(617) 989-0000","42.3089985","-71.0832417","Restaurants",
"Mangoes Marlboro","331","331 Boston Post Rd E","Marlborough","MA","(508) 251-0682","42.3489873448813","-71.5173929810038","Restaurants",
"Only One Jamaican Restaurant","160","160 Norfolk St","Dorchester Center","MA","(617) 822-0444","42.287056","-71.078608","Restaurants",
"Five Horses Tavern","400","400 Highland Ave","Somerville","MA","(617) 764-1655","42.395677","-71.120851","Restaurants",
"Assembly","425","425 Hancock St","Quincy","MA","(617) 302-4696","42.272761","-71.02511","Restaurants",
"El Oriental De Cuba","416","416 Centre St","Jamaica Plain","MA","(617) 524-6464","42.32078","-71.110458","Restaurants",
"Bahama Breeze","413","413 Middlesex Rd","Tyngsboro","MA","(978) 649-6660","42.696151","-71.437437","Restaurants",
"Jerk","310","310 Bowdoin St","Dorchester","MA","(617) 506-7090","42.3077759","-71.065678","Restaurants",
"Genki Ya","232","232 Tremont St","Boston","MA","(617) 338-8686","42.351258","-71.0647133","Restaurants",
"Tasty Burger","69","69 L St","South Boston","MA","(617) 425-4444","42.335235","-71.035551","Restaurants",
"Maverick Marketplace Cafe","154","154 Maverick St","East Boston","MA","(617) 455-6232","42.369921","-71.0379314","Restaurants",
"Opa Greek Yeeros","378","378 Highland Ave","Somerville","MA","(617) 718-1678","42.395039","-71.119291","Restaurants",
"P&R Restaurant","208","208 Dudley St","Roxbury","MA","(617) 442-2020","42.328622","-71.081073","Restaurants",
"Villamar Carribean Restaurant","36","36 Plaistow Rd","Haverhill","MA","(978) 641-3353","42.8119590185028","-71.1027271662365","Restaurants",
"Jamaica Mi Hungry","169","169 Ocean Blvd","Hampton","NH","(603) 601-7972","42.909824","-70.810962","Restaurants",
"Jamaica's Flavor","4","4 Wheeler St","Lynn","MA","(781) 477-9517","42.4610575027559","-70.9502184241916","Restaurants",
"JP Roti Shop","482","482 Washington St","Dorchester Center","MA","(617) 825-4860","42.2947099","-71.0716808","Restaurants",
"Oasis Caribbean Cuisine","487","487 Washington St","Norwood","MA","(781) 352-0061","42.196866","-71.199363","Restaurants",
"Raphael Caribbean Cuisine","481","481 Washington St","Dorchester Center","MA","(617) 506-7875","42.2946888","-71.0721957","Restaurants",
"Bella Isla Express","181","181 5th St","Chelsea","MA","(617) 884-1184","42.3951437729798","-71.0362584764411","Restaurants",
"Dennehys Island Fever","505","505 Boston Post Rd W","Marlborough","MA","(508) 448-3200","42.3358458","-71.6027652","Restaurants",
"Jeano's Restaurant","769","769 Main St","Brockton","MA","(508) 559-2610","42.07007","-71.018011","Restaurants",
"Ali's Roti Restaurant","1035","1035 Tremont St","Roxbury Crossing","MA","(617) 427-1079","42.3367028","-71.0856361","Restaurants",
"Caribe Restaurant","80","80 Walnut St","Peabody","MA","(978) 871-2193","42.5260791","-70.9203586","Restaurants",
"Pikalo","378","378 Centre St","Jamaica Plain","MA","(617) 522-1210","42.321988","-71.109261","Restaurants",
"Sunrise Cuisine","76","76 Middlesex Ave","Somerville","MA","(617) 623-2992","42.3936935","-71.083141","Restaurants",
"Nu Flav","1100","1100 Blue Hill Ave","Dorchester Center","MA","(617) 506-7092","42.286947","-71.09023","Restaurants",
"Paradise Caribbean Restaurant","192","192 Warn Ave","Brockton","MA","(508) 587-8770","42.07924","-71.03653","Restaurants",
"Taste of Eden Ja-American Restaurant","38","38 Norfolk St","Dorchester Center","MA","(617) 282-0077","42.289166","-71.072765","Restaurants",
"Singhs Roti Shop","692","692 Columbia Rd Ste 1","Dorchester","MA","(617) 282-7977","42.320212","-71.062456","Restaurants",
"Auntie Vie's Bakery Cafe","554","554 Dudley St","Dorchester","MA","(617) 708-0013","42.3213043","-71.0718892","Restaurants",
"Au Beurre Chaud Bakery","721","721 River St","Hyde Park","MA","(617) 364-3066","42.2637766","-71.1024939","Restaurants",
"Flava Jamaican Restaurant","21","21 Torrey St","Brockton","MA","(508) 510-4114","42.074591","-71.043702","Restaurants",
"Swissbakers","32","32 Lincoln St","Reading","MA","(781) 942-1199","42.5216747","-71.1072972","Restaurants",
"Izzys Restaurant & Sub Shop","169","169 Harvard St","Cambridge","MA","(617) 661-3910","42.366292","-71.095583","Restaurants",
"Mandarin Buffett","1100","1100 Revere Beach Pkwy","Chelsea","MA","(617) 889-0056","42.402842","-71.025481","Restaurants",
"Island Style","183","183 Washington St","Dorchester","MA","(617) 288-8300","42.3033672","-71.0787618","Restaurants",
"Divine Merci Restaurant","1296","1296 Blue Hill Ave","Mattapan","MA","(617) 296-1300","42.279338","-71.092764","Restaurants",
"Golden Krust","1614","1614 Blue Hill Ave","Mattapan","MA","(617) 696-6200","42.268842","-71.093464","Restaurants",
"Highland Creole Cuisine","2","2 Highland Ave","Somerville","MA","(617) 625-8333","42.384384","-71.092609","Restaurants",
"Flames Restaurant Inc","746","746 Huntington Ave","Boston","MA","(617) 734-1911","42.333581","-71.10556","Restaurants",
"Village Cafe","719","719 Washington St Ste A","Newton","MA","(617) 795-5200","42.352757","-71.202962","Restaurants",
