Business Name,Physical Address Number,Physical Address,Physical City,Physical State,Phone,Latitude,Longitude,Primary SIC Description,
"Ninety Nine Restaurant & Pub","13","13 Commonwealth Ave","Concord","MA","(978) 369-0300","42.456391","-71.392892","Restaurants",
"Domino's","1260","1260 Boylston St Ste 2","Boston","MA","(617) 424-9000","42.344738","-71.09597","Pizza",
"Hooters","850","850 Providence Hwy","Dedham","MA","(781) 326-6600","42.235177","-71.178288","Restaurants",
"Ninety Nine Restaurant & Pub","428","428 Lincoln St","Hingham","MA","(781) 740-8599","42.247967","-70.925831","Restaurants",
"UNO Pizzeria & Grill","300","300 Mishawum Rd","Woburn","MA","(781) 937-6016","42.505525","-71.13321","Restaurants",
"Ninety Nine Restaurant & Pub","20","20 Cummings St","Somerville","MA","(617) 629-0599","42.393955","-71.083764","Restaurants",
"Ninety Nine Restaurant & Pub","672","672 Boston Rd","Billerica","MA","(978) 667-9789","42.541148","-71.247498","Restaurants",
"KFC","485","485 Boston Rd","Billerica","MA","(978) 663-3333","42.550858","-71.26391","Restaurants",
"Ninety Nine Restaurant & Pub","10","10 Main St","Stoneham","MA","(781) 279-0399","42.50092","-71.100827","Restaurants",
"Popeyes Louisiana Kitchen","85","85 Parkhurst Rd","Chelmsford","MA","(978) 856-7079","42.625264","-71.359675","Restaurants",
"KFC","20","20 Everett Ave","Everett","MA","(617) 389-1799","42.402363","-71.041546","Restaurants",
"KFC","419","419 High St","Somersworth","NH","(603) 692-7900","43.236316","-70.881518","Restaurants",
"KFC","875","875 N Montello St","Brockton","MA","(508) 580-9956","42.107064","-71.023035","Restaurants",
"Ninety Nine Restaurant & Pub","464","464 Lowell St","Andover","MA","(978) 475-8033","42.642627","-71.209841","Restaurants",
"KFC","625","625 American Legion Hwy","Roslindale","MA","(617) 524-1010","42.2856115","-71.1109605","Restaurants",
"Wingstop","678","678 Fellsway","Medford","MA","(781) 391-9464","42.4073830774382","-71.0830365265885","Restaurants",
"KFC","465","465 Washington St","Dorchester Center","MA","(617) 288-2140","42.295071","-71.072433","Restaurants",
"KFC","282","282 Washington St","Hudson","MA","(978) 567-0646","42.3719722","-71.5610449","Restaurants",
"Boston Market","616","616 Fellsway Ste 1","Medford","MA","(781) 393-0413","42.406119","-71.08301","Restaurants",
"New York Fried Chicken","1198","1198 Blue Hill Ave","Mattapan","MA","(617) 898-0800","42.2837121","-71.09196","Restaurants",
"KFC","180","180 Old Colony Ave Ste 2","Quincy","MA","(617) 471-4742","42.2606686","-71.0129711","Restaurants",
"KFC","985","985 Belmont St","Brockton","MA","(508) 427-5776","42.064445","-71.057328","Restaurants",
"Boston Market","341","341 Cochituate Rd Ste 4","Framingham","MA","(508) 879-5585","42.301991","-71.40159","Restaurants",
"Domino's","53","53 Winn St","Burlington","MA","(781) 229-1330","42.492496","-71.1759","Pizza",
"KFC","306","306 Lafayette Rd","Seabrook","NH","(603) 474-5101","42.8835","-70.867943","Restaurants",
"KFC","6","6 Purchase St","Danvers","MA","(978) 774-2800","42.558133","-70.930314","Restaurants",
"KFC","149","149 Cochituate Rd","Framingham","MA","(508) 875-1011","42.300388","-71.408457","Restaurants",
"Pizza Hut","39","39 State St","Lynn","MA","(781) 592-0066","42.4622736","-70.9498205","Pizza",
"Domino's","100","100 Market St Ste 1","Rockland","MA","(781) 871-3030","42.1217485","-70.9163144","Pizza",
"Pizza Hut","636","636 Lafayette Rd","Seabrook","NH","(603) 474-1599","42.894042","-70.871294","Pizza",
"Pizza Hut","5A","5a Everett St","Revere","MA","(781) 325-8537","42.4102891778163","-71.00090329312","Pizza",
"KFC","490","490 S Union St","Lawrence","MA","(978) 682-5008","42.689716","-71.152756","Restaurants",
"Wings Over","519","519 Somerville Ave","Somerville","MA","(617) 666-9464","42.383399","-71.106437","Restaurants",
"UNO Pizzeria & Grill","1","1 Brookline Ave","Boston","MA","(617) 262-4911","42.3484376","-71.0974726","Restaurants",
"KFC","720","720 Lynnway","Lynn","MA","(781) 595-0134","42.450402","-70.961344","Restaurants",
"Rotisserie","651","651 Warren St","Dorchester","MA","(617) 442-3300","42.309755","-71.083018","Restaurants",
"Chicken and Rice Guys LLC","85","85 Bedford St","Boston","MA","(617) 654-8218","42.3531249","-71.0586821","Restaurants",
"Domino's","57","57 Dudley St","Haverhill","MA","(978) 372-5660","42.784351","-71.078054","Pizza",
"Popeyes Louisiana Kitchen","200","200 Westgate Dr","Brockton","MA","(508) 559-1520","42.0955773","-71.0520278","Restaurants",
"Chick-fil-A","210","210 Andover St Unit F105","Peabody","MA","(978) 977-0740","42.5413325","-70.9439351","Restaurants",
"Popeyes Louisiana Kitchen","1886","1886 Revere Beach Pkwy","Everett","MA","(617) 387-7300","42.402315","-71.049921","Restaurants",
"Thyme Japanese Cuisine","97","97 Turnpike St","North Andover","MA","(978) 686-5888","42.675858","-71.131553","Restaurants",
"Domino's","570","570 Broadway","Revere","MA","(781) 289-1020","42.413416","-71.01044","Pizza",
"Domino's","450","450 Cambridge St Ste 3","Allston","MA","(617) 254-4800","42.354062","-71.135674","Pizza",
"Pollos A La Brasa Betos","69","69 Bennington St","East Boston","MA","(617) 561-6005","42.375696","-71.036431","Restaurants",
"Crown Fried Chicken","344","344 Warren St","Roxbury","MA","(617) 445-1414","42.318983","-71.081134","Restaurants",
"Taso's Euro Cafe","125","125 Access Rd","Norwood","MA","(781) 278-0001","42.188341","-71.1777699","Restaurants",
"Wildfire Barbecue","20","20 Pleasant St","Millis","MA","(508) 376-5810","42.162506","-71.365684","Restaurants",
"Crown Fried Chicken","1012","1012 Main St","Brockton","MA","(508) 580-5222","42.065385","-71.015861","Restaurants",
"UNO Pizzeria & Grill","970","970 Paradise Rd","Swampscott","MA","(781) 595-8667","42.4829144","-70.9018759","Restaurants",
"Chicken Now","100","100 Cambridgeside Pl Spc F5","Cambridge","MA","(617) 225-2220","42.3684293","-71.0764537","Restaurants",
"Lennys Spa","313","313 Meridian St","East Boston","MA","(617) 567-8082","42.377482","-71.038958","Restaurants",
"Ninety Nine Restaurant & Pub","401","401 Main St","Tewksbury","MA","(978) 863-9099","42.620031","-71.259603","Restaurants",
"KFC","212","212 Haverhill St","Methuen","MA","(978) 689-4559","42.706359","-71.202901","Restaurants",
"Sonny Noto Restaurant","49","49 Water St","Wakefield","MA","(781) 246-4800","42.502579","-71.067777","Restaurants",
"Hooters","1143","1143 Broadway","Saugus","MA","(339) 600-7311","42.467266","-71.026026","Restaurants",
"Ristorante Pavarotti","601","601 Main St","Reading","MA","(781) 670-9050","42.523698","-71.102656","Restaurants",
"New York Fried Chicken","446","446 Blue Hill Ave","Dorchester","MA","(617) 442-2299","42.3095573","-71.0822812","Restaurants",
"Newyork Fried Chicken","1251","1251 River St","Hyde Park","MA","(617) 361-0709","42.256046","-71.12345","Restaurants",
"Mass Chicken","736","736 Massachusetts Ave","Cambridge","MA","(617) 234-4450","42.366091","-71.105312","Restaurants",
"Romano's Pizza","154","154 Main St Ste 2","Salem","NH","(603) 898-0788","42.781772","-71.224361","Restaurants",
