Business Name,Physical Address Number,Physical Address,Physical City,Physical State,Phone,Latitude,Longitude,Primary SIC Description,
"Ocean Chef","91","91 Carver Rd Ste M","Plymouth","MA","(508) 732-9999","41.9448725","-70.7115161","Restaurants",
"China Blossom","946","946 Osgood St","North Andover","MA","(978) 682-2242","42.711429","-71.118913","Restaurants",
"PF Chang's","100","100 Cambridge St Ste 2200","Boston","MA","(781) 461-6060","42.359957","-71.062137","Restaurants",
"Bamboo Fine Asian Cuisine","1","1 Lan Dr","Westford","MA","(978) 589-9666","42.559848","-71.430739","Restaurants",
"Golden Temple","1651","1651 Beacon St","Brookline","MA","(617) 277-9722","42.3387401","-71.1362747","Restaurants",
"Tahiti Restaurant","22","22 Mah Way","Dedham","MA","(781) 329-2575","42.24508","-71.172342","Restaurants",
"Yangtze River Restaurant","25","25 Depot Sq","Lexington","MA","(781) 861-6030","42.4487215421195","-71.2281747450505","Restaurants",
"Myers & Chang","1145","1145 Washington St Ste 1","Boston","MA","(617) 542-5200","42.343871","-71.066367","Restaurants",
"Supinos Restaurant","250","250 Newbury St","Danvers","MA","(978) 774-0707","42.583612","-70.967968","Restaurants",
"Wu Loon Ming Restaurant","8","8 Chelmsford Rd","North Billerica","MA","(978) 663-9090","42.583819","-71.293492","Restaurants",
"Ichigo Ichie Hibachi","837","837 W Central St","Franklin","MA","(508) 541-8882","42.091889","-71.431485","Restaurants",
"Committee","50","50 Northern Ave","Boston","MA","(617) 737-5051","42.3535851","-71.046119","Restaurants",
"State Street Provisions","255","255 State St","Boston","MA","(617) 863-8363","42.3594346","-71.0511308","Restaurants",
"C Mart 2 Supermarket","109","109 Lincoln St","Boston","MA","(617) 426-8888","42.3513706","-71.058543","Convenience Stores",
"Pollo Tipico","190","190 Lawrence St","Lawrence","MA","(978) 975-8013","42.7157513392558","-71.1651302838737","Restaurants",
"Crossroads Cafe","405","405 Nagog Park","Acton","MA","(978) 263-9733","42.5229857","-71.4321318","Restaurants",
"Maui Restaurant","1875","1875 Main St","Brockton","MA","(508) 583-1010","42.0480779","-71.011129","Restaurants",
"Newcomb Farms Family Restaurant","1139","1139 Randolph Ave","Milton","MA","(617) 698-9547","42.229172","-71.071979","Restaurants",
"Chef Chows House","230","230 Harvard St","Brookline","MA","(617) 739-2469","42.340711","-71.121016","Restaurants",
"Oriental Garden","400","400 Lowell Ave Ste 13","Haverhill","MA","(978) 373-5626","42.774424","-71.113501","Restaurants",
"Bamboo-Bedford Fine Asian Cuisine & Sushi Bar","213","213 Burlington Rd","Bedford","MA","(781) 275-5888","42.501306","-71.235498","Restaurants",
"China Moon Restaurant","170","170 Main St","Stoneham","MA","(781) 438-0732","42.490265","-71.099679","Restaurants",
"Ocean Kai Restaurant","300","300 Lincoln St","Hingham","MA","(781) 749-6300","42.24898","-70.914186","Restaurants",
"Old Tyme Italian Cuisine","612","612 Boston St","Lynn","MA","(781) 596-1111","42.463525","-70.975403","Restaurants",
"Wangs Table","46","46 Washington St","Haverhill","MA","(978) 372-0089","42.773091","-71.083851","Restaurants",
"Jade Palace","28","28 Portsmouth Ave Ste 8","Stratham","NH","(603) 772-0572","42.9981177","-70.9210295","Restaurants",
"Wu ER By Wow Barbecue","320","320 Washington St","Brookline","MA","(617) 566-8858","42.3332186","-71.1201747","Restaurants",
"Dorset Hall","367","367 Neponset Ave","Dorchester","MA","(617) 533-7114","42.286701","-71.045127","Restaurants",
"Asia Chinese & Japanese","42","42 3rd St","Dover","NH","(603) 742-0040","43.198078","-70.87598","Restaurants",
"Lims Sports Bar","7","7 Veterans Memorial Pkwy","Salem","NH","(603) 893-9124","42.769961","-71.218608","Restaurants",
"Great Wall Restaurant","309","309 Great Rd","Bedford","MA","(781) 275-7007","42.4860682631326","-71.2615682209172","Restaurants",
"Chang Sho","1712","1712 Massachusetts Ave","Cambridge","MA","(617) 547-6565","42.383546","-71.119777","Restaurants",
"Tiki Island Restaurant","269","269 Middlesex Ave Ste 1","Medford","MA","(781) 391-0477","42.41183","-71.077987","Restaurants",
"Dynasty Chinese Restaurant","24","24 Signal St","Rochester","NH","(603) 332-1000","43.3054514","-70.9730381","Restaurants",
