Business Name,Physical Address Number,Physical Address,Physical City,Physical State,Phone,Latitude,Longitude,Primary SIC Description,
"Gourmet Garden","45","45 Enon St","Beverly","MA","(978) 720-8177","42.5876508","-70.8845866","Restaurants",
"Ikko Japanese Steak House","879","879 Central Ave","Dover","NH","(603) 343-1777","43.2182069550978","-70.8828417891676","Restaurants",
"Sonic Drive-In","55","55 Newbury St","Peabody","MA","(978) 535-9100","42.5257486983277","-70.9949010547496","Restaurants",
"Sonic Drive-In","630","630 Washington St","Stoughton","MA","(781) 436-8887","42.129046","-71.1015596","Restaurants",
"Johnsons Drive-In","164","164 Boston Rd","Groton","MA","(978) 448-6840","42.5962006229185","-71.5563265641845","Restaurants",
"Domo Japanese Cuisine","96","96 State St","Portsmouth","NH","(603) 501-0132","43.076951","-70.7544209","Restaurants",
"Takara","15","15 Elissa Ave","Wayland","MA","(508) 358-6688","42.3643466","-71.36832","Restaurants",
"Shabu Village","417","417 Harvard St","Brookline","MA","(617) 566-0888","42.3454884","-71.1268319","Restaurants",
"Umai","224","224 Newbury St","Boston","MA","(617) 262-2228","42.3497758","-71.0811857","Restaurants",
"J & JS Seafood Drive In","197","197 County St","Lakeville","MA","(508) 763-5977","41.7964374","-70.9558797","Restaurants",
"Wild Blossom","301","301 Washington St","Westwood","MA","(781) 235-8886","42.2185083","-71.1886492","Restaurants",
"Wasabi at Porter","2088","2088 Massachusetts Ave","Cambridge","MA","(617) 945-5001","42.391322","-71.1236008","Restaurants",
"Saigon Tokyo","892","892 Central Ave","Dover","NH","(603) 750-4128","43.218467","-70.883935","Restaurants",
