Business Name,Physical Address Number,Physical Address,Physical City,Physical State,Phone,Latitude,Longitude,Primary SIC Description,
"China Blossom","946","946 Osgood St","North Andover","MA","(978) 682-2242","42.711429","-71.118913","Restaurants",
"Bamboo Fine Asian Cuisine","1","1 Lan Dr","Westford","MA","(978) 589-9666","42.559848","-71.430739","Restaurants",
"Golden Temple","1651","1651 Beacon St","Brookline","MA","(617) 277-9722","42.3387401","-71.1362747","Restaurants",
"Red House","98","98 Winthrop St","Cambridge","MA","(617) 576-0605","42.372303","-71.121248","Restaurants",
"Howl at the Moon","184","184 High St Lbby 2","Boston","MA","(617) 292-4695","42.356676","-71.052569","Restaurants",
"Committee","50","50 Northern Ave","Boston","MA","(617) 737-5051","42.3535851","-71.046119","Restaurants",
"Tamboo Bistro","252","252 Main St","Brockton","MA","(508) 584-8585","42.080385","-71.019948","Restaurants",
"Black Rose","160","160 State St Lbby","Boston","MA","(617) 742-2286","42.359438","-71.053797","Restaurants",
"Oriental Garden","400","400 Lowell Ave Ste 13","Haverhill","MA","(978) 373-5626","42.774424","-71.113501","Restaurants",
"Panificio","144","144 Charles St","Boston","MA","(617) 227-4340","42.360176","-71.07105","Restaurants",
"Jade Palace","28","28 Portsmouth Ave Ste 8","Stratham","NH","(603) 772-0572","42.9981177","-70.9210295","Restaurants",
"Karma Restaurant","174","174 Littleton Rd Ste 7","Westford","MA","(978) 692-6920","42.566563","-71.421995","Restaurants",
"Merengue Restaurant","156","156 Blue Hill Ave","Roxbury","MA","(617) 445-5403","42.31919","-71.077545","Restaurants",
"Fitzy's Pub","1","1 Man Mar Dr Unit 1","Plainville","MA","(508) 699-2532","42.008396","-71.30506","Restaurants",
"Wagamama","800","800 Boylston St Spc 117","Boston","MA","(617) 778-2344","42.3482963792101","-71.0834282775152","Restaurants",
"Brannellys Cafe","4432","4432 Washington St","Roslindale","MA","(617) 323-6700","42.280049","-71.134608","Restaurants",
"Plum Island Grille","2","2 Plum Island Blvd","Newbury","MA","(978) 463-2290","42.798602","-70.812855","Restaurants",
"Wu ER By Wow Barbecue","320","320 Washington St","Brookline","MA","(617) 566-8858","42.3332186","-71.1201747","Restaurants",
"Cuisine En Locale","156","156 Highland Ave Ste 1","Somerville","MA","(617) 285-0167","42.388278","-71.103849","Restaurants",
"Chriscillas Restaurant","447","447 Broadway","Everett","MA","(617) 389-1066","42.407159","-71.055205","Restaurants",
"Sofra Bakery & Cafe","1","1 Belmont St","Cambridge","MA","(617) 661-3161","42.3749","-71.1503564","Restaurants",
"Hurricanes at the Gardens","150","150 Canal St","Boston","MA","(617) 722-0161","42.3647556","-71.0608848","Restaurants",
"Bamboo","55","55 Ariadne Rd","Dedham","MA","(781) 251-2566","42.2316733","-71.1820091","Restaurants",
"Bellinos Trattoria","146","146 Lowell St","Wakefield","MA","(781) 246-7666","42.523662","-71.078807","Restaurants",
"Billy Tse Restaurant","240","240 Commercial St Lbby 1","Boston","MA","(617) 227-9990","42.36385","-71.051455","Restaurants",
"Cha Yen Thai Cookery","613","613 Mount Auburn St","Watertown","MA","(617) 393-0031","42.3706896","-71.1584113","Restaurants",
"New Style Asian Food","25","25 Boston St","Lynn","MA","(781) 596-1688","42.479452","-70.956152","Restaurants",
"Lil Tokoyo and Siagon","2800","2800 Lafayette Rd","Portsmouth","NH","(603) 427-8676","43.029161","-70.790611","Restaurants",
"Tasty Momo","503","503 Medford St","Somerville","MA","(617) 764-0199","42.396341","-71.1033527","Restaurants",
"Chungs Kitchen","142","142 Littleton Rd Ste 11","Westford","MA","(978) 399-0016","42.569297","-71.418565","Restaurants",
"Asian House","99","99 Cambridge St","Charlestown","MA","(617) 242-4165","42.38254","-71.079198","Restaurants",
"Scutra","92","92 Summer St","Arlington","MA","(781) 316-1813","42.41889","-71.157999","Restaurants",
"Wagamama","100","100 Northern Ave Ste 600","Boston","MA","(617) 933-9304","42.3523709","-71.0435409","Restaurants",
"Nixs Mate","89","89 Broad St","Boston","MA","(617) 556-0006","42.357322","-71.053231","Restaurants",
"Alex's Kitchen","107","107 Nichols Ave","Watertown","MA","(617) 393-9898","42.3686242","-71.1606176","Restaurants",
"Tiger Mama","1363","1363 Boylston St","Boston","MA","(617) 425-6262","42.3445864","-71.100657","Restaurants",
"Sea Breeze Mexican Grill","1782","1782 Dorchester Ave","Dorchester Center","MA","(617) 297-5205","42.289546","-71.063124","Restaurants",
"Pruller Restaurant","514","514 Lincoln St","Marlborough","MA","(508) 480-8825","42.344237","-71.562385","Restaurants",
"Asian Ginger","70","70 Central St","Foxboro","MA","(508) 698-3333","42.062602","-71.24807","Restaurants",
"Kasbah","59","59 Putnam St","Winthrop","MA","(617) 539-4484","42.374485","-70.985813","Restaurants",
"Asados Dona Flor","197","197 High St","Lowell","MA","(978) 452-0175","42.64262","-71.3012156","Restaurants",
"Athans Bakery","407","407 Washington St","Brighton","MA","(617) 783-0313","42.3494203","-71.1553102","Restaurants",
"Super Wok","25","25 Orchard View Dr","Londonderry","NH","(603) 425-5108","42.862569","-71.354974","Restaurants",
