Business Name,Physical Address Number,Physical Address,Physical City,Physical State,Phone,Latitude,Longitude,Primary SIC Description,
"Restaurant 45","45","45 Milford St Unit 1","Medway","MA","(508) 533-8171","42.1444912","-71.4436875","Restaurants",
"Grumpys Restaurant","190","190 Pulaski Blvd","Bellingham","MA","(508) 883-0101","42.021148","-71.494643","Restaurants",
"Isaac's Restaurant","114","114 Water St","Plymouth","MA","(508) 830-0001","41.9601088","-70.6660466","Restaurants",
"Rosewood Restaurant","445","445 Hartford Ave","Bellingham","MA","(508) 966-1126","42.130727","-71.449414","Restaurants",
"Tavern From Tower Square","119","119 Washington St","Plainville","MA","(508) 699-7600","42.017254","-71.316754","Restaurants",
"Ore A Love Story Restaurant","434","434 Pearl St","Stoughton","MA","(774) 219-0614","42.136038","-71.111998","Restaurants",
"Kevin's Club House Restaurant","265","265 S Meadow Rd Ste A","Plymouth","MA","(508) 746-5911","41.9108487","-70.7359232","Restaurants",
"Vohns Restaurant","633","633 Pulaski Blvd","Bellingham","MA","(508) 883-4934","42.032745","-71.484156","Restaurants",
"Anatolia","305","305 Washington St","Brookline","MA","(617) 277-4466","42.3334339","-71.1195709","Restaurants",
"Marias Family Restaurant","81","81 Essex St","Haverhill","MA","(978) 521-1472","42.7748033","-71.0845713","Restaurants",
"Eggies Family Restaurant","6","6 Main St","Atkinson","NH","(603) 489-1858","42.8201","-71.117244","Restaurants",
"Red Robin Gourmet Burgers and Brews","2421","2421 Cranberry Hwy Ste 350","Wareham","MA","(508) 273-0441","41.7746009","-70.7446155","Restaurants",
"Fish Market","170","170 Brighton Ave","Allston","MA","(617) 783-1268","42.3529196","-71.1329823","Restaurants",
"Mandarian Amesbury","88","88 Haverhill Rd","Amesbury","MA","(978) 388-6668","42.842561","-70.953993","Restaurants",
"Ideas In Taste","3","3 Hampton Rd","Norfolk","MA","(508) 520-3790","42.097661","-71.3490238","Restaurants",
"Dreamy Flavor Brunch & Restaurant","129","129 Broadway","Reading","MA","(617) 764-0337","42.52484","-71.1091","Restaurants",
"Rosaria","190","190 Main St","Saugus","MA","(781) 558-2759","42.4668353","-71.0277833","Restaurants",
"Pattaya","1024","1024 N Main St","Brockton","MA","(508) 807-4289","42.1096674743734","-71.0316772222732","Restaurants",
"Dynasty Chinese Restaurant","77","77 Main St Ste 7","Hopkinton","MA","(508) 435-8088","42.227709","-71.524076","Restaurants",
"Patagonian Friendly Food LLC","141","141 Wildwood Ave","Braintree","MA","(781) 817-5266","42.176877","-71.0047","Restaurants",
"Pavlo's Kouzina","585","585 Revere Beach Pkwy","Revere","MA","(781) 598-1257","42.4052444","-71.0064075","Restaurants",
"El Jefes Taquirea","83","83 Mount Auburn St","Cambridge","MA","(617) 714-3702","42.3725511","-71.1196176","Restaurants",
"Bickford's","6","6 Cambridge St","Burlington","MA","(781) 272-2262","42.481553","-71.186534","Restaurants",
"Lunas Restaurant","945","945 Saratoga St","East Boston","MA","(617) 418-5321","42.38657","-71.009152","Restaurants",
"Andiamo Restaurant Bar","18","18 Boston Rd","Chelmsford","MA","(978) 710-7218","42.5947","-71.350389","Restaurants",
"J&L Cafe","116","116 Washington St","Dorchester","MA","(617) 221-7980","42.3052378","-71.08001","Restaurants",
"Thao Ngrc Food Inc","1331","1331 Dorchester Ave","Dorchester","MA","(617) 297-5786","42.305202","-71.059174","Restaurants",
"Family Food Shop","609","609 Walk Hill St","Mattapan","MA","(617) 322-1066","42.280932","-71.097852","Restaurants",
"Lisas Family Pizzeria","650","650 Main St","Wakefield","MA","(781) 224-4422","42.496584","-71.069023","Restaurants",
"Red Robin Gourmet Burgers and Brews","201","201 Patriot Pl","Foxboro","MA","(508) 698-0030","42.0929824","-71.2656209","Restaurants",
"Carmelina's","307","307 Hanover St","Boston","MA","(617) 742-0020","42.363883","-71.054158","Restaurants",
"Yelus Restaurant","116","116 Washington St","Dorchester","MA","(857) 271-3926","42.3052378","-71.08001","Restaurants",
"Country Brook Cafe","98","98 Amesbury Rd","Exeter","NH","(603) 777-5111","42.934053","-70.945769","Restaurants",
"Tender Greens","49","49 Boylston St Ste 1","Chestnut Hill","MA","(857) 245-9302","42.3225967","-71.1699838","Restaurants",
"Talias Breakfast and Eatery","44","44 Nashua Rd Unit 17","Londonderry","NH","(603) 260-5339","42.8664969","-71.3492829","Restaurants",
"Bickford's","20","20 Nagog Park","Acton","MA","(978) 263-0442","42.5225363","-71.4336854","Restaurants",
"Methuen Family Restaurant","246","246 Broadway","Methuen","MA","(978) 683-7050","42.72545","-71.186185","Restaurants",
"Red Robin Gourmet Burgers and Brews","250","250 Granite St","Braintree","MA","(781) 348-6103","42.2220443","-71.0227762","Restaurants",
"Rufinas","170","170 Concord Rd","Chelmsford","MA","(978) 256-1250","42.568389","-71.350608","Restaurants",
