Business Name,Physical Address Number,Physical Address,Physical City,Physical State,Phone,Latitude,Longitude,Primary SIC Description,
"Ruggieros Market","3345","3345 Washington St","Jamaica Plain","MA","(617) 522-7184","42.30971","-71.104632","Convenience Stores",
"McDonald's","40","40 Enon St Ste 5","Beverly","MA","(978) 922-1884","42.5865229","-70.885745","Restaurants",
"Wendy's","806","806 Main St","Waltham","MA","(781) 899-2795","42.376044","-71.242621","Restaurants",
"McDonald's","346","346 Great Rd","Bedford","MA","(781) 275-8746","42.485169","-71.2600764","Restaurants",
"McDonald's","14","14 E Clark St","Middleboro","MA","(508) 947-7057","41.884018","-70.917812","Restaurants",
"McDonald's","290","290 Worcester St","Natick","MA","(508) 653-1809","42.301747","-71.337105","Restaurants",
"Burger King","4594","4594 Washington St","Roslindale","MA","(617) 323-8739","42.2762267972074","-71.1391679548735","Restaurants",
"Cape Cod Cafe Inc","979","979 Main St","Brockton","MA","(508) 583-9420","42.0659677","-71.016716","Restaurants",
"Burger King","150","150 Everett Ave","Chelsea","MA","(617) 884-0619","42.3955957","-71.0402883","Restaurants",
"McDonald's","912","912 Central Ave","Dover","NH","(603) 742-9813","43.2198848","-70.8856908","Restaurants",
"Burger King","100","100 Washington St","Dorchester","MA","(617) 427-1535","42.305953","-71.080321","Restaurants",
"McDonald's","I-90","Mass Pike I-90 Srvc Area 8e Milepost 117","Natick","MA","(508) 651-1687","42.29129","-71.35783","Restaurants",
"McDonald's","143","143 Samoset St","Plymouth","MA","(508) 746-9885","41.9529636","-70.6863796","Restaurants",
"McDonald's","110","110 Pleasant Valley St","Methuen","MA","(978) 687-9831","42.7437907","-71.1510911","Restaurants",
"McDonald's","567","567 Lynnway","Lynn","MA","(781) 598-1894","42.4555147","-70.9595436","Restaurants",
"Domino's","1260","1260 Boylston St Ste 2","Boston","MA","(617) 424-9000","42.344738","-71.09597","Pizza",
"McDonald's","45","45 Crystal Ave","Derry","NH","(603) 432-2231","42.8906446","-71.3266393","Restaurants",
"McDonald's","291","291 N Main St","Rochester","NH","(603) 332-6829","43.311005","-70.992016","Restaurants",
"McDonald's","210","210 Andover St Ste F111","Peabody","MA","(978) 977-3694","42.5413325","-70.9439351","Restaurants",
"McDonald's","422","422 Washington St","Stoughton","MA","(781) 344-0489","42.1345146","-71.1010486","Restaurants",
"McDonald's","870","870 Massachusetts Ave","Boston","MA","(617) 442-4349","42.331524","-71.07035","Restaurants",
"McDonald's","718","718 American Legion Hwy","Roslindale","MA","(617) 323-7027","42.2828546","-71.11359","Restaurants",
"McDonald's","56","56 Calef Hwy","Epping","NH","(603) 679-8544","43.0282805175897","-71.073947038972","Restaurants",
"McDonald's","31","31 Providence Hwy","Norwood","MA","(781) 352-4414","42.2124386231276","-71.1832412034959","Restaurants",
"McDonald's","55","55 Great Rd","Acton","MA","(978) 264-2062","42.47589","-71.409329","Restaurants",
"McDonald's","178","178 Border St","East Boston","MA","(617) 567-9374","42.3745047","-71.0402152","Restaurants",
"McDonald's","301","301 Warren St","Roxbury","MA","(617) 442-6698","42.320367","-71.082202","Restaurants",
"McDonald's","225","225 S Broadway","Salem","NH","(603) 898-7923","42.763551","-71.215504","Restaurants",
"McDonald's","1000","1000 Lafayette Rd","Portsmouth","NH","(603) 436-3127","43.049428","-70.771608","Restaurants",
"McDonald's","5","5 Long Pond Rd Ste A","Plymouth","MA","(508) 747-9615","41.9336745249384","-70.6577641404519","Restaurants",
"McDonald's","1223","1223 Commonwealth Ave","Allston","MA","(617) 562-1313","42.3507101","-71.1309674","Restaurants",
"McDonald's","343","343 Cochituate Rd","Framingham","MA","(508) 879-1650","42.3028491","-71.4009097","Restaurants",
