Business Name,Physical Address Number,Physical Address,Physical City,Physical State,Phone,Latitude,Longitude,Primary SIC Description,
"Posto","187","187 Elm St","Somerville","MA","(617) 625-0600","42.393266","-71.120361","Restaurants",
"Domino's","1260","1260 Boylston St Ste 2","Boston","MA","(617) 424-9000","42.344738","-71.09597","Pizza",
"Roggie's Pizzeria","356","356 Chestnut Hill Ave","Brighton","MA","(617) 713-0555","42.3369067","-71.1515058","Restaurants",
"Mission On The Bay","141","141 Humphrey St","Swampscott","MA","(781) 691-9277","42.4678285","-70.9171526","Restaurants",
"Papa Gino's","782","782 River St","Haverhill","MA","(978) 372-5468","42.769954","-71.113282","Pizza",
"Papa Gino's","81","81 Carver Rd","Plymouth","MA","(508) 747-5386","41.9448699","-70.7096925","Pizza",
"Papa Gino's","233","233 Broad St Ste 18","Bridgewater","MA","(508) 697-8137","41.994113","-70.972845","Pizza",
"Lisa's Family Pizzeria","903A","903a Main St","Woburn","MA","(781) 938-0123","42.5087846971023","-71.1605256342933","Restaurants",
"Faucis Pizza","4","4 Lynnfield St","Lynn","MA","(781) 595-1310","42.485242","-70.961182","Restaurants",
"Derry Restaurant","111","111 W Broadway","Derry","NH","(603) 432-2107","42.875123","-71.335487","Restaurants",
"Papa Gino's","10","10 N Meadows Rd","Medfield","MA","(508) 359-2040","42.186142","-71.310505","Pizza",
"Papa Gino's","179","179 Cambridge St","Burlington","MA","(781) 273-3020","42.5098123","-71.2000389","Pizza",
"Papa Gino's","9","9 Plaistow Rd","Plaistow","NH","(603) 382-3991","42.817652","-71.101272","Pizza",
"Papa Gino's","92","92 Cluff Crossing Rd Ste 5","Salem","NH","(603) 893-8476","42.766198","-71.221326","Pizza",
"Papa Gino's","142","142 Nahatan St","Norwood","MA","(781) 278-0717","42.191624","-71.196584","Pizza",
"Papa Gino's","29","29 Chelmsford St","Chelmsford","MA","(978) 256-6999","42.598086","-71.350024","Pizza",
"Papa Gino's","1018","1018 Lexington St","Waltham","MA","(781) 893-6440","42.410304","-71.234346","Pizza",
"Boston Market","616","616 Fellsway Ste 1","Medford","MA","(781) 393-0413","42.406119","-71.08301","Restaurants",
"Papa Gino's","211","211 North St Ste 1","Foxboro","MA","(508) 543-1516","42.1027045","-71.2586316","Pizza",
"Papa Gino's","8","8 Commercial St","Foxboro","MA","(508) 543-6100","42.054305","-71.241148","Pizza",
"Mandee's Pizza","408","408 Essex St","Salem","MA","(978) 745-6400","42.517996","-70.905407","Restaurants",
"Boston Market","341","341 Cochituate Rd Ste 4","Framingham","MA","(508) 879-5585","42.301991","-71.40159","Restaurants",
