Business Name,Physical Address Number,Physical Address,Physical City,Physical State,Phone,Latitude,Longitude,Primary SIC Description,
"Craigie On Main Restaurant & Bar","853","853 Main St","Cambridge","MA","(617) 497-5511","42.36353","-71.098626","Restaurants",
"Menton","354","354 Congress St Ste 101","Boston","MA","(617) 737-0099","42.350526","-71.048256","Restaurants",
"Deuxave","371","371 Commonwealth Ave","Boston","MA","(617) 517-5915","42.34942","-71.089058","Restaurants",
"Bistro & Wine Bar at Mirbeau","35","35 Landmark Dr","Plymouth","MA","(508) 209-2393","41.8812152","-70.5981587","Restaurants",
"5 Corners Kitchen","2","2 School St","Marblehead","MA","(781) 631-5550","42.501352","-70.85578","Restaurants",
"Aquitaine","569","569 Tremont St","Boston","MA","(617) 424-8577","42.3438192","-71.0723521","Restaurants",
"Gaslight","560","560 Harrison Ave Ste G4","Boston","MA","(617) 422-0224","42.340807","-71.067441","Restaurants",
"Les Zygomates Wine Bar & Bistro","129","129 South St Ste 101","Boston","MA","(617) 542-5108","42.351228","-71.057523","Restaurants",
"La Voile Brookline","1627","1627 Beacon St","Brookline","MA","(617) 277-1260","42.339045","-71.135372","Restaurants",
"Bastille Kitchen","49","49 Melcher St Ste 1","Boston","MA","(617) 556-8000","42.3494995","-71.0503974","Restaurants",
"Scutra","92","92 Summer St","Arlington","MA","(781) 316-1813","42.41889","-71.157999","Restaurants",
"Gaslight Lynnfield","1100","1100 Market St","Lynnfield","MA","(781) 334-3433","42.5146862","-71.0344211","Restaurants",
"Restaurant Lavoile","261","261 Newbury St","Boston","MA","(617) 587-4250","42.349586","-71.083145","Restaurants",
"Hagans Grill","6","6 High St","Hampton","NH","(603) 926-5668","42.9418641","-70.8375982","Restaurants",
"Marliave","10","10 Bosworth St","Boston","MA","(617) 422-0004","42.3569559","-71.0603469","Restaurants",
"Troquet","107","107 South St","Boston","MA","(617) 695-9463","42.351472","-71.057508","Restaurants",
"French Memories","459","459 Washington St","Duxbury","MA","(781) 934-9020","42.0387062","-70.6712688","Restaurants",
"Bergamot","118","118 Beacon St","Somerville","MA","(617) 576-7700","42.377989","-71.106366","Restaurants",
"Bondir Restaurant","279A","279a Broadway","Cambridge","MA","(617) 661-0009","42.3682873","-71.097767","Restaurants",
"Aquitaine at Legacy Place","500","500 Legacy Pl","Dedham","MA","(781) 471-5212","42.2303902","-71.1779435","Restaurants",
"Opus Salem","87","87 Washington St","Salem","MA","(978) 744-9600","42.5221089","-70.8955213","Restaurants",
"G Bar & Kitchen","256","256 Humphrey St","Swampscott","MA","(781) 596-2228","42.4673191","-70.9140078","Restaurants",
