Business Name,Physical Address Number,Physical Address,Physical City,Physical State,Phone,Latitude,Longitude,Primary SIC Description,
"Committee","50","50 Northern Ave","Boston","MA","(617) 737-5051","42.3535851","-71.046119","Restaurants",
"Burlington House of Pizza","114","114 Cambridge St","Burlington","MA","(781) 272-5839","42.498485","-71.193857","Restaurants",
"Aegean Restaurant & Lounge","257","257 Cochituate Rd","Framingham","MA","(508) 879-8424","42.301906","-71.403439","Restaurants",
"Olympia Restaurant","453","453 Market St","Lowell","MA","(978) 452-8092","42.646366","-71.316209","Restaurants",
"Fire Ice Restaurant","205","205 Berkeley St","Boston","MA","(617) 482-3473","42.3506673","-71.0724912","Restaurants",
"Forest Hills Pizza","3722","3722 Washington St","Jamaica Plain","MA","(617) 524-5547","42.300058","-71.113184","Restaurants",
"Venus Pizza","1293","1293 Broadway","Somerville","MA","(617) 718-9900","42.405719","-71.130802","Restaurants",
"Jimbo's Famous Roast Beef","454","454 Main St","Reading","MA","(781) 944-0588","42.521373","-71.103538","Restaurants",
"Anatolia","305","305 Washington St","Brookline","MA","(617) 277-4466","42.3334339","-71.1195709","Restaurants",
"Amsterdam Cafe","483","483 E Broadway Ste 1","South Boston","MA","(617) 464-6488","42.3352873","-71.0455912","Restaurants",
"CAVA","10","10 Commercial Aly Ste 1","Portsmouth","NH","(603) 319-1575","43.0776325","-70.7568838","Restaurants",
"Giorgianas","532","532 Tremont St Ste 1","Boston","MA","(617) 542-0101","42.3444991","-71.0702716","Restaurants",
"Greek Grille","599","599 Main St","Winchester","MA","(781) 729-2889","42.453682","-71.137147","Restaurants",
"Athens Pizza & Grill","2","2 Watertown St","Watertown","MA","(617) 923-8222","42.3643030785441","-71.1858702950355","Restaurants",
"Putterham Grille","1012","1012 W Roxbury Pkwy","Chestnut Hill","MA","(617) 327-2202","42.3039086724406","-71.1520358431265","Restaurants",
"Restaurant Bar & Grille","489","489 Main St","Woburn","MA","(781) 935-2511","42.4826152","-71.1506022","Restaurants",
"Windham Restaurants","59","59 Range Rd","Windham","NH","(603) 870-9270","42.805863","-71.262219","Restaurants",
"Greek Truck","10","10 Vining St","Boston","MA","(617) 734-9745","42.3354063659479","-71.1077054905169","Restaurants",
"Mike's Pizzeria Subs and Salads","377","377 Cabot St","Beverly","MA","(978) 921-2022","42.5578569","-70.8789691","Restaurants",
"Demos Restaurant","64","64 Mount Auburn St","Watertown","MA","(617) 924-9660","42.366374","-71.1822849","Restaurants",
"Sophias Pizzeria","220","220 Main St","Townsend","MA","(978) 597-2331","42.6645245879947","-71.7014654409743","Restaurants",
"Omega Pizza","230","230 S Main St","Middleton","MA","(978) 777-3900","42.5795698","-70.9972799","Restaurants",
"New Brothers Restaurant & Deli","31","31 Maple St","Danvers","MA","(978) 750-0100","42.566387","-70.935951","Restaurants",
"Amphora Restaurant","55","55 Crystal Ave Unit 3","Derry","NH","(603) 537-0111","42.892457","-71.323592","Restaurants",
"Al's State Street Cafe","112","112 State St","Boston","MA","(617) 720-5555","42.359312","-71.054892","Restaurants",
"Bill's Pizzeria","58","58 E Central St","Natick","MA","(508) 653-3240","42.285157","-71.341851","Restaurants",
"Gyro Nation","15","15 Washington St","Haverhill","MA","(978) 914-6014","42.77367","-71.083146","Restaurants",
"Gyro and Kabab House","1275","1275 Boston Providence Tpke","Norwood","MA","(781) 352-2255","42.169727","-71.1974035","Restaurants",
"Renula's Greek Kitchen","6","6 Lincoln St","Newton Highlands","MA","(617) 527-5366","42.3215301","-71.2065959","Restaurants",
"Viale","502","502 Massachusetts Ave","Cambridge","MA","(617) 576-1900","42.363948","-71.101815","Restaurants",
"Juniper Restaurant","13","13 Central St","Wellesley","MA","(781) 446-6950","42.296479","-71.295077","Restaurants",
"Zest Mediterrian Cuisine LLC","1076","1076 Boylston St","Boston","MA","(617) 867-6767","42.3469496","-71.0879713","Restaurants",
"Salonikigreek","132","132 Brookline Ave","Boston","MA","(617) 266-0001","42.3450289","-71.10053","Restaurants",
"South Street Pizzeria","16","16 South St","Foxboro","MA","(508) 698-3999","42.0643567","-71.2494069","Restaurants",
"Falafel King III Inc","62","62 Summer St","Boston","MA","(617) 482-2223","42.354416","-71.058478","Restaurants",
"Pita Gyros","9","9 Grove St","Norwell","MA","(781) 871-4976","42.172692","-70.878468","Restaurants",
"Brockton Greek Food Festival","457","457 Oak St","Brockton","MA","(508) 559-0910","42.1017537954009","-71.0449322036053","Restaurants",
"CAVA","82","82 Ames St","Cambridge","MA","(617) 202-9396","42.3633114","-71.0875972","Restaurants",
"CAVA","1346","1346 Boylston St","Boston","MA","(617) 286-8872","42.3439149414536","-71.0996599805369","Restaurants",
"CAVA","669","669 Boylston St","Boston","MA","(617) 286-8927","42.3499021818126","-71.0785774076865","Restaurants",
"CAVA","680","680 Legacy Pl","Dedham","MA","(781) 205-4766","42.229663","-71.176869","Restaurants",
"Greek Provisions","525","525 Medford St","Somerville","MA","(888) 724-7335","42.396986","-71.103746","Restaurants",
"Gyro & Kebab House","1056","1056 Great Plain Ave","Needham","MA","(781) 444-8000","42.27997","-71.238283","Restaurants",
"Christo's","788","788 Crescent St","Brockton","MA","(508) 588-2177","42.0818162287419","-70.9868211788507","Restaurants",
