Business Name,Physical Address Number,Physical Address,Physical City,Physical State,Phone,Latitude,Longitude,Primary SIC Description,
"Burlington Famous Pizza","167","167 Bedford St Ste 1","Burlington","MA","(781) 272-7767","42.501393","-71.2319629","Restaurants",
"Marcello Sandwich Shop","733","733 Bedford St","Whitman","MA","(781) 447-9007","42.0804947","-70.9466094","Restaurants",
"Honeygrow","1282","1282 Boylston St","Boston","MA","(857) 991-1647","42.344634","-71.096692","Restaurants",
"Dagostinos Delicatessen","11","11 Waterfield Rd","Winchester","MA","(781) 729-7984","42.451519","-71.1384521","Restaurants",
"Plum Island Grille","2","2 Plum Island Blvd","Newbury","MA","(978) 463-2290","42.798602","-70.812855","Restaurants",
"Earth's Harvest Kitchen & Juicery","835","835 Central Ave","Dover","NH","(603) 516-7600","43.2165042","-70.8802097","Restaurants",
"Metro Cafe","332","332 Congress St Ste 1","Boston","MA","(617) 399-2000","42.351105","-71.049124","Restaurants",
"Pret A Manger","101","101 Arch St Ste 105","Boston","MA","(617) 204-1085","42.354954","-71.059085","Restaurants",
"B GOOD","55","55 Needham St","Newton Highlands","MA","(617) 467-4143","42.315689","-71.210595","Restaurants",
"Al's Tradecenter LLC","300","300 Tradecenter Ste 1460","Woburn","MA","(781) 305-4591","42.5000248","-71.162731","Restaurants",
"Sweetgreen","210","210 Boylston St","Chestnut Hill","MA","(617) 916-0788","42.3192488","-71.1758567","Restaurants",
"Andro's Pizza","9","9 Washington St Ste 1","Franklin","MA","(508) 541-4404","42.074866","-71.40407","Restaurants",
"Black Sheep Pub & Grill","5","5 Central St","Peabody","MA","(978) 854-6780","42.5273296","-70.9268987","Restaurants",
"Pressed","120","120 Charles St Ste 4","Boston","MA","(857) 350-3072","42.3592324","-71.0709008","Restaurants",
"Steves Pizza","1250","1250 Main St Ste 2","Waltham","MA","(781) 642-8500","42.376083","-71.263268","Restaurants",
"Primos Sandwich Shops","6","6 Mechanic St Ste 3","Foxboro","MA","(508) 543-7400","42.0655758","-71.2493072","Restaurants",
"Naples Pizza","142 1/2","142 1/2 Elm St","Amesbury","MA","(978) 388-0211","42.8574517","-70.9226887","Restaurants",
"Randolph Cafe","1207","1207 N Main St","Randolph","MA","(781) 767-3600","42.196808","-71.060639","Restaurants",
"Just Crust","49","49 Brattle St","Cambridge","MA","(617) 497-4111","42.37419","-71.121438","Restaurants",
"Christophers Cafe & Catering Inc","2","2 Lewis St","Lynn","MA","(781) 596-2200","42.466775","-70.925441","Restaurants",
"Marcus Pizza","275","275 Asbury St","South Hamilton","MA","(978) 468-0188","42.6314529594467","-70.8949367303204","Restaurants",
"Dinas Pizza","930","930 Hingham St","Rockland","MA","(781) 871-1100","42.160876","-70.903044","Restaurants",
"Boston Shawarma","315","315 Huntington Ave","Boston","MA","(617) 670-0460","42.341187","-71.087639","Restaurants",
"Sandwich Works","827","827 Beacon St","Newton Center","MA","(617) 332-6777","42.3301660736369","-71.1948230079018","Restaurants",
"Mario's Sub & Salads","28","28 Warren St","Roxbury","MA","(617) 445-3848","42.32886","-71.083646","Restaurants",
"Greek House of Pizza","343","343 Centre Ave","Rockland","MA","(781) 871-5512","42.113816","-70.9264029","Restaurants",
"Mama Mia Restaurant","301","301 Elm St","Everett","MA","(617) 389-2222","42.415203","-71.034367","Restaurants",
"Dicaras Deli Inc","1349","1349 Main St","Reading","MA","(781) 944-4400","42.5550244","-71.1046469","Restaurants",
"Andrina's Pizzaria of Arlington Inc","1060","1060 Massachusetts Ave","Arlington","MA","(781) 648-4800","42.4202823","-71.1701357","Restaurants",
"Charlie's Too","825","825 Washington St","Pembroke","MA","(781) 826-5646","42.0620924","-70.7729787","Restaurants",
"Victorias Sub Shop","345","345 Rockland St","Hingham","MA","(781) 749-9684","42.2594912177257","-70.8452874076324","Restaurants",
"Peters Pizza","48","48 Hamilton St","Saugus","MA","(781) 233-8989","42.465689","-71.006466","Restaurants",
"Gregorys House of Pizza","27","27 Leonard St","Belmont","MA","(617) 489-0331","42.396907","-71.175459","Restaurants",
"First Sandwich Shop","975","975 Main St","Walpole","MA","(508) 668-7335","42.145981","-71.253172","Restaurants",
