Business Name,Physical Address Number,Physical Address,Physical City,Physical State,Phone,Latitude,Longitude,Primary SIC Description,
"Five Guys","221","221 N Main St","Natick","MA","(508) 650-5100","42.3022125444592","-71.3609321094897","Restaurants",
"Five Guys","380","380 Lafayette Rd Unit 203","Seabrook","NH","(603) 814-1235","42.886481","-70.868244","Restaurants",
"Five Guys","980","980 Paradise Rd Ste 2","Swampscott","MA","(781) 595-1300","42.4832863","-70.9013733","Restaurants",
"Five Guys","10","10 Cornerstone Sq","Westford","MA","(978) 692-6008","42.5647245","-71.4276975","Restaurants",
"Five Guys","227","227 Andover St","Peabody","MA","(978) 717-5416","42.5465485","-70.9464334","Restaurants",
"Five Guys","1207","1207 Washington St Ste 50","Hanover","MA","(781) 829-6770","42.138139","-70.84112","Restaurants",
"Five Guys","67","67 Main St","Stoneham","MA","(781) 438-8002","42.496545","-71.101225","Restaurants",
"Five Guys","61","61 Crystal Ave Unit 1a","Derry","NH","(603) 818-8290","42.893391","-71.325978","Restaurants",
"Five Guys","95","95 Washington St Ste 206","Canton","MA","(781) 828-4204","42.140571","-71.1477471","Restaurants",
"Five Guys","170","170 Providence Hwy","Dedham","MA","(781) 326-1158","42.2611888612776","-71.1688670621106","Restaurants",
"Five Guys","7","7 Warren St Ste 12","Randolph","MA","(781) 963-0600","42.1659568","-71.0438062","Restaurants",
"Wetzel's Pretzels","250","250 Granite St","Braintree","MA","(781) 849-9899","42.2220443","-71.0227762","Restaurants",
"Elliot's Lunch","37","37 Elliott St","Lowell","MA","(978) 458-3179","42.641074","-71.310639","Restaurants",
"Five Guys","341","341 Cochituate Rd Ste 7","Framingham","MA","(508) 879-7500","42.301991","-71.40159","Restaurants",
"Five Guys","58","58 Summer St","Boston","MA","(617) 482-2245","42.354435","-71.058671","Restaurants",
"Five Guys","37","37 Forbes Rd","Braintree","MA","(781) 848-4897","42.2208500437405","-71.0292195060698","Restaurants",
"Five Guys","15","15 Webb Pl","Dover","NH","(603) 842-4955","43.221415","-70.888677","Restaurants",
"Five Guys","43","43 Middlesex Tpke Ste 14","Burlington","MA","(781) 750-3152","42.471412","-71.209482","Restaurants",
"A&W All-American Food","50","50 Ferncroft Rd","Danvers","MA","(978) 777-2500","42.597042","-70.970305","Restaurants",
"Five Guys","158","158 Everett Ave Unit 1","Chelsea","MA","(617) 466-2290","42.3959907722685","-71.0399433130192","Restaurants",
"Five Guys","27","27 Westgate Dr","Brockton","MA","(774) 381-7921","42.0897247","-71.0474571","Restaurants",
"Essex River Dogs","162","162 Main St","Essex","MA","(978) 890-7322","42.629188","-70.771513","Restaurants",
"Ed's Weenies","600","600 Great Rd","Littleton","MA","(978) 505-3448","42.5607823","-71.4955492","Restaurants",
"Five Guys","263","263 Huntington Ave","Boston","MA","(617) 936-3657","42.342251","-71.086142","Restaurants",
"Five Guys","1030","1030 Main St Ste 19","Waltham","MA","(781) 647-0555","42.375605","-71.252463","Restaurants",
"Five Guys","215","215 Needham St","Newton Upper Falls","MA","(617) 332-5555","42.3105625","-71.2148757","Restaurants",
"Five Guys","90","90 Drum Hill Rd Ste 2","Chelmsford","MA","(978) 454-4555","42.622548","-71.36235","Restaurants",
"Five Guys","1250","1250 Hancock St","Quincy","MA","(617) 481-8635","42.2521773","-71.0037941","Restaurants",
"Five Guys","86","86 Plaistow Rd","Haverhill","MA","(978) 361-2696","42.8132523557659","-71.1027343404336","Restaurants",
"Five Guys","65","65 Station Lndg","Medford","MA","(781) 874-1250","42.403028","-71.080816","Restaurants",
"Five Guys","1390","1390 Lafayette Rd","Portsmouth","NH","(603) 427-8931","43.0460902","-70.7726361","Restaurants",
"Wetzel's Pretzels","50","50 Fox Run Rd","Portsmouth","NH","(603) 436-2600","43.098226","-70.804142","Restaurants",
"Archie's on A Roll","420","420 Maple St","Marlborough","MA","(774) 258-0444","42.332562","-71.539989","Restaurants",
"Daddy's Dogs","15","15 Hull Shore Dr","Hull","MA","N/A","42.2741126","-70.8606858","Restaurants",
"Five Guys","60","60 Bridle Path Cir","Randolph","MA","(781) 885-1054","42.163284","-71.050486","Restaurants",
"Five Guys","268","268 Franklin Village Dr","Franklin","MA","(508) 520-3911","42.08878","-71.4245798","Restaurants",
"Bartleys Burger Cottage","1246","1246 Massachusetts Ave","Cambridge","MA","(617) 354-6559","42.372454","-71.116301","Restaurants",
"Five Guys","104","104 Providence Hwy","East Walpole","MA","(508) 660-9850","42.1564725","-71.2018662","Restaurants",
"Five Guys","291","291 S Broadway","Salem","NH","(603) 824-6945","42.758793","-71.211351","Restaurants",
"Atina Asian Bistro","115","115 S Main St","West Bridgewater","MA","(774) 223-5800","42.0161755","-71.0024786","Restaurants",
"Five Guys","20","20 Rosebrook Pl Unit 3","Wareham","MA","(508) 273-7156","41.773887176602","-70.7354107366493","Restaurants",
"Five Guys","197","197 Boston Post Rd W Ste K1","Marlborough","MA","(508) 281-4855","42.3391594","-71.5905116","Restaurants",
"Wetzel's Pretzels","210","210 Andover St","Peabody","MA","(978) 531-1333","42.5413325","-70.9439351","Restaurants",
"Boston Hot Dog Company","60","60 Washington St Ste 2","Salem","MA","(978) 744-4168","42.5224813","-70.8960581","Restaurants",
"Michaels Deli","256","256 Harvard St","Brookline","MA","(617) 738-3354","42.3416625","-71.1214747","Restaurants",
