Business Name,Physical Address Number,Physical Address,Physical City,Physical State,Phone,Latitude,Longitude,Primary SIC Description,
"Area Four","500","500 Technology Sq Fl 4","Cambridge","MA","(617) 758-4444","42.3634028","-71.0925412","Restaurants",
"Black Rose","160","160 State St Lbby","Boston","MA","(617) 742-2286","42.359438","-71.053797","Restaurants",
"Midway Restaurant","269","269 Washington St","Dedham","MA","(781) 329-5575","42.251031","-71.170699","Restaurants",
"Shalimar India Food & Spices","571","571 Massachusetts Ave","Cambridge","MA","(617) 868-8311","42.364947","-71.102321","Restaurants",
"Cook Newton","825","825 Washington St","Newtonville","MA","(617) 964-2665","42.3518863","-71.2070596","Restaurants",
"Punjab Palace","109","109 Brighton Ave","Allston","MA","(617) 254-1500","42.353014","-71.13048","Restaurants",
"Masala Inc","1127","1127 Broadway","Somerville","MA","(617) 718-0703","42.4032162","-71.1266306","Restaurants",
"Silvertone Bar & Grill","69","69 Bromfield St","Boston","MA","(617) 338-7887","42.3571399","-71.0609295","Restaurants",
"Holi Indian Restaurant","20","20 North Rd Ste 1","Bedford","MA","(781) 538-5906","42.493998","-71.286201","Restaurants",
"India Pavilion Restaurant","17","17 Central Sq","Cambridge","MA","(617) 547-7463","42.365405","-71.104795","Restaurants",
"Welcome Indian Cuisine","770","770 Worcester Rd","Framingham","MA","(508) 370-9977","42.298906","-71.428467","Restaurants",
"Mughals Indian Cuisine","184","184 Cambridge St","Burlington","MA","(781) 273-0111","42.511686","-71.200783","Restaurants",
"Tikki Masala","3706","3706 Washington St","Jamaica Plain","MA","(617) 942-2966","42.30036","-71.112971","Restaurants",
"Masala Art","990","990 Great Plain Ave","Needham","MA","(781) 449-4050","42.279932","-71.236521","Restaurants",
"Anmol Indian Restaurant","258","258 Rantoul St","Beverly","MA","(978) 232-9009","42.5500609","-70.883751","Restaurants",
"Minerva Indian Cuisine","500","500 Boston Providence Tpke","Norwood","MA","(508) 653-2000","42.1954232","-71.1837801","Restaurants",
"Ali's Roti Restaurant","1188","1188 Blue Hill Ave","Mattapan","MA","(617) 298-9850","42.283771","-71.09129","Restaurants",
"Chutneys","36","36 Jfk St Ste 12","Cambridge","MA","(617) 491-2545","42.3727788","-71.1197524","Restaurants",
"Maharajah","57","57 Jfk St","Cambridge","MA","(617) 547-2757","42.37212","-71.120892","Restaurants",
