Business Name,Physical Address Number,Physical Address,Physical City,Physical State,Phone,Latitude,Longitude,Primary SIC Description,
"Posto","187","187 Elm St","Somerville","MA","(617) 625-0600","42.393266","-71.120361","Restaurants",
"Area Four","500","500 Technology Sq Fl 4","Cambridge","MA","(617) 758-4444","42.3634028","-71.0925412","Restaurants",
"Tosca","14","14 North St","Hingham","MA","(781) 740-0080","42.244557","-70.884902","Restaurants",
"Monicas Mercato","130","130 Salem St Ste 1","Boston","MA","(617) 742-4101","42.365094","-71.055592","Convenience Stores",
"Telly's Restaurant & Pizza","235","235 Calef Hwy","Epping","NH","(603) 679-8225","43.0397196513844","-71.0658811830581","Restaurants",
"Calitri's Italian Cuisine","126","126 Newbury St","Danvers","MA","(978) 777-1266","42.569038","-70.974483","Restaurants",
"Venezia Waterfront Restaurant & Banquet Facility","20","20 Ericsson St","Dorchester","MA","(617) 436-3120","42.291745","-71.04032","Restaurants",
"Mamma Mias of Carver","73","73 Main St","Carver","MA","(508) 866-7900","41.89233","-70.777484","Restaurants",
"Restaurant 45","45","45 Milford St Unit 1","Medway","MA","(508) 533-8171","42.1444912","-71.4436875","Restaurants",
"Mamma Maria Restaurant","3","3 North Sq","Boston","MA","(617) 523-0077","42.364069","-71.053502","Restaurants",
"Siros Marina Bay","307","307 Victory Rd","Quincy","MA","(617) 472-4500","42.299293","-71.028538","Restaurants",
"Mamas Italian Restaurant","1140","1140 Lakeview Ave","Dracut","MA","(978) 957-7117","42.665768","-71.323199","Restaurants",
"A R T U Catering","6","6 Prince St","Boston","MA","(617) 248-8890","42.364106","-71.053724","Restaurants",
"Menton","354","354 Congress St Ste 101","Boston","MA","(617) 737-0099","42.350526","-71.048256","Restaurants",
"Strega Waterfront","1","1 Marina Park Dr","Boston","MA","(617) 345-3992","42.353176","-71.045229","Restaurants",
"Bertucci's Brick Oven Pizza & Pasta","27","27 Enon St","Beverly","MA","(978) 927-6866","42.585281","-70.884362","Restaurants",
"Mamma Mia's","122","122 Water St","Plymouth","MA","(508) 747-4670","41.9605343","-70.6668553","Restaurants",
"Lucca Restaurant","226","226 Hanover St","Boston","MA","(617) 742-9200","42.363161","-71.055402","Restaurants",
