Business Name,Physical Address Number,Physical Address,Physical City,Physical State,Phone,Latitude,Longitude,Primary SIC Description,
"Minado Restaurant","1282","1282 Worcester St","Natick","MA","(508) 647-0495","42.298159","-71.3818469","Restaurants",
"Bamboo Fine Asian Cuisine","1","1 Lan Dr","Westford","MA","(978) 589-9666","42.559848","-71.430739","Restaurants",
"Ichigo Ichie Hibachi","837","837 W Central St","Franklin","MA","(508) 541-8882","42.091889","-71.431485","Restaurants",
"Sakura-Bana Japanese Restaurant","57","57 Broad St","Boston","MA","(617) 542-4311","42.3580197","-71.0542303","Restaurants",
"Bamboo-Bedford Fine Asian Cuisine & Sushi Bar","213","213 Burlington Rd","Bedford","MA","(781) 275-5888","42.501306","-71.235498","Restaurants",
"Shabu-Zen Restaurant","16","16 Tyler St","Boston","MA","(617) 292-8828","42.350803","-71.060522","Restaurants",
"Wangs Table","46","46 Washington St","Haverhill","MA","(978) 372-0089","42.773091","-71.083851","Restaurants",
"Turk's Seafood","83","83 Marion Rd","Mattapoisett","MA","(508) 758-3117","41.663744","-70.788087","Restaurants",
"Wagamama","800","800 Boylston St Spc 117","Boston","MA","(617) 778-2344","42.3482963792101","-71.0834282775152","Restaurants",
"Fugakyu Japanese Cuisine","1280","1280 Beacon St","Brookline","MA","(617) 734-1268","42.3430078","-71.1196197","Restaurants",
"Ogas Japanese Cuisine","915","915 Worcester St","Natick","MA","(508) 653-4338","42.300144","-71.361735","Restaurants",
"Asia Chinese & Japanese","42","42 3rd St","Dover","NH","(603) 742-0040","43.198078","-70.87598","Restaurants",
"Bamboo","55","55 Ariadne Rd","Dedham","MA","(781) 251-2566","42.2316733","-71.1820091","Restaurants",
"Samba Steak House & Sushi","1138","1138 Worcester Rd","Framingham","MA","(508) 628-0288","42.29857","-71.443682","Restaurants",
"Masala Inc","1127","1127 Broadway","Somerville","MA","(617) 718-0703","42.4032162","-71.1266306","Restaurants",
"Billy Tse Restaurant","240","240 Commercial St Lbby 1","Boston","MA","(617) 227-9990","42.36385","-71.051455","Restaurants",
"New Style Asian Food","25","25 Boston St","Lynn","MA","(781) 596-1688","42.479452","-70.956152","Restaurants",
"Holi Indian Restaurant","20","20 North Rd Ste 1","Bedford","MA","(781) 538-5906","42.493998","-71.286201","Restaurants",
"Lil Tokoyo and Siagon","2800","2800 Lafayette Rd","Portsmouth","NH","(603) 427-8676","43.029161","-70.790611","Restaurants",
"Hojoko","1271","1271 Boylston St","Boston","MA","(617) 670-0507","42.3452146","-71.0967264","Restaurants",
"Chungs Kitchen","142","142 Littleton Rd Ste 11","Westford","MA","(978) 399-0016","42.569297","-71.418565","Restaurants",
"Gourmet Garden","45","45 Enon St","Beverly","MA","(978) 720-8177","42.5876508","-70.8845866","Restaurants",
"Wagamama","100","100 Northern Ave Ste 600","Boston","MA","(617) 933-9304","42.3523709","-71.0435409","Restaurants",
"Ikko Japanese Steak House","879","879 Central Ave","Dover","NH","(603) 343-1777","43.2182069550978","-70.8828417891676","Restaurants",
"Gyu-Kaku","16","16 Eliot St Fl 2","Cambridge","MA","(857) 259-6666","42.372072","-71.121484","Restaurants",
"Yume Wo Katare Ramen","1923","1923 Massachusetts Ave","Cambridge","MA","(617) 714-4008","42.3894379099535","-71.1197489944239","Restaurants",
"Jin's Fine Asian Cuisine","11","11 Washington St","Wellesley Hills","MA","(781) 237-5888","42.3253044","-71.259761","Restaurants",
"Moko Japanese Cuisine","674","674 E Broadway","South Boston","MA","(617) 752-4601","42.335793","-71.037568","Restaurants",
"Asian Ginger","70","70 Central St","Foxboro","MA","(508) 698-3333","42.062602","-71.24807","Restaurants",
"Gari Japanese Fusion Restaurant","119","119 Great Plain Ave","Needham","MA","(781) 455-8882","42.2707809793279","-71.2044277484617","Restaurants",
"Thyme Japanese Cuisine","97","97 Turnpike St","North Andover","MA","(978) 686-5888","42.675858","-71.131553","Restaurants",
"Tikki Masala","3706","3706 Washington St","Jamaica Plain","MA","(617) 942-2966","42.30036","-71.112971","Restaurants",
"Fin's Sushi and Grill","240","240 Cambridge St","Boston","MA","(617) 227-2277","42.360994","-71.066812","Restaurants",
"Tora","20","20 Tyler St","Boston","MA","(617) 542-6688","42.350693","-71.060566","Restaurants",
"MIGAKU Noodle House","238","238 Washington St","Brookline","MA","(617) 608-3141","42.33262","-71.118841","Restaurants",
"Futago Udon","508","508 Park Dr","Boston","MA","(617) 487-8512","42.34764","-71.105811","Restaurants",
"Beijing Tokyo","103","103 Nagog Park","Acton","MA","(978) 429-8989","42.5229857","-71.4321318","Restaurants",
"Fins Sushi & Grille","354","354 Chestnut Hill Ave","Brighton","MA","(617) 731-0018","42.336873","-71.1516313","Restaurants",
"Sarku","300","300 Mishawum Rd Ste 17","Woburn","MA","(781) 933-2128","42.505525","-71.13321","Restaurants",
"Sei Bar","916","916 Broadway","Everett","MA","(617) 381-1880","42.420921","-71.043885","Restaurants",
"Super Fusion Cuisine II","54","54 Mount Auburn St","Watertown","MA","(617) 393-0008","42.366254","-71.182701","Restaurants",
