Business Name,Physical Address Number,Physical Address,Physical City,Physical State,Phone,Latitude,Longitude,Primary SIC Description,
"Bonchon Chicken","1075","1075 Westford St","Lowell","MA","(978) 970-1888","42.6300964","-71.3538248","Restaurants",
"Chungs Kitchen","142","142 Littleton Rd Ste 11","Westford","MA","(978) 399-0016","42.569297","-71.418565","Restaurants",
"Bukk Yung Restaurant","9","9 Union Sq","Somerville","MA","(617) 623-7220","42.379255","-71.095564","Restaurants",
"Asiana Fusion","1","1 Waverley Ave","Watertown","MA","(617) 923-3874","42.370147","-71.191118","Restaurants",
"Hanmaru Restaurant","168","168 Harvard Ave","Allston","MA","(617) 779-7907","42.351385","-71.131356","Restaurants",
"Korean Grill","1429","1429 Hancock St","Quincy","MA","(617) 472-1006","42.248919","-71.002459","Restaurants",
"Dabin Restaurant","10","10 Muzzey St Ste 1","Lexington","MA","(781) 860-0171","42.447387","-71.228705","Restaurants",
"Takara","151","151 Linden St","Wellesley","MA","(781) 235-9888","42.2991967","-71.2931671","Restaurants",
"Young Kong Restaurant","300","300 Centre St","Jamaica Plain","MA","(617) 522-8922","42.322758","-71.103057","Restaurants",
"Coreanos","172","172 Brighton Ave","Allston","MA","(617) 208-8822","42.352947","-71.1330119","Restaurants",
"3 Country Bistro","379","379 Main St","Woburn","MA","(781) 376-8030","42.479874","-71.1517","Restaurants",
"Mad For Chicken","75","75 Kneeland St Lbby 4","Boston","MA","(617) 338-0188","42.3501961","-71.0606114","Restaurants",
"K Town Chicken","136","136 Harvard Ave","Allston","MA","(617) 337-3500","42.352165","-71.131591","Restaurants",
"WooRi Restaurant","9","9 Medford St","Arlington","MA","(781) 648-4781","42.414937","-71.150656","Restaurants",
"Suishaya Restaurant","2","2 Tyler St","Boston","MA","(617) 423-5517","42.351213","-71.060374","Restaurants",
"Koy Korean Restaurant","16","16 North St","Boston","MA","(857) 991-1483","42.36057","-71.0564465","Restaurants",
"Bibim","166","166 Harvard Ave","Allston","MA","(215) 722-4901","42.35143","-71.131362","Restaurants",
"Bab Korean Bistro","1374","1374 Beacon St","Brookline","MA","(617) 383-5575","42.341735","-71.124038","Restaurants",
"Emone Tofu","184","184 Salem St","Malden","MA","(781) 605-2766","42.4296984","-71.0610705","Restaurants",
"Seoul","156","156 Cambridge St","Boston","MA","(617) 973-6680","42.361436","-71.0649789","Restaurants",
"SGD DUBU SO GONG DONG TOFU & KOREAN BBQ","225","225 Quincy Ave","Quincy","MA","(617) 302-4646","42.2403215","-70.9919302","Restaurants",
"Seoul Topokki","166","166 Harvard Ave","Allston","MA","(617) 787-5656","42.35143","-71.131362","Restaurants",
"HAJU Kitchen","175","175 Massachusetts Ave","Boston","MA","(617) 982-7118","42.345828","-71.087367","Restaurants",
"Koreana Restaurant","158","158 Prospect St","Cambridge","MA","(617) 576-8661","42.3690834","-71.1009555","Restaurants",
"Boston Kaju Tofu Restaurant","58","58 Harvard Ave","Allston","MA","(617) 208-8540","42.354449","-71.132282","Restaurants",
"New Ginza Japanese Restaurant","65","65 Galen St","Watertown","MA","(617) 923-2100","42.363433","-71.186399","Restaurants",
"K Restaurant","100","100 Lynn St","Peabody","MA","(978) 595-1889","42.511342","-70.9470429","Restaurants",
"Surah BBQ Boston","27","27 Riverside Ave","Medford","MA","(781) 391-5606","42.4177729","-71.108823","Restaurants",
"Seoul Soulongtang","1245","1245 Commonwealth Ave","Allston","MA","(617) 505-6771","42.3503373","-71.1318712","Restaurants",
"Chochos","1815","1815 Massachusetts Ave Ste P3","Cambridge","MA","(617) 868-4246","42.387132","-71.118795","Restaurants",
"Korean Garden Restaurant","122","122 Harvard Ave","Allston","MA","(617) 562-8989","42.352379","-71.131728","Restaurants",
"Kaya Restaurant","1924","1924 Massachusetts Ave","Cambridge","MA","(617) 497-5656","42.38922","-71.120495","Restaurants",
"Color Restaurant","166","166 Harvard Ave","Allston","MA","(617) 787-5656","42.35143","-71.131362","Restaurants",
"Tanpopo","1815","1815 Massachusetts Ave","Cambridge","MA","(617) 868-5457","42.387132","-71.118795","Restaurants",
"Woo Jung Restaurant","174","174 W Main St","Ayer","MA","(978) 772-5742","42.556583","-71.602058","Restaurants",
"Sugarcane Thai Korean & Chinese Cuisine","180","180 Winter St Unit A","Bridgewater","MA","(508) 697-2266","41.967881","-70.975016","Restaurants",
"Woojeon II Restaurant","3","3 Old Concord Rd","Burlington","MA","(781) 221-8486","42.473544","-71.208181","Restaurants",
"Little Pusan","83","83 Main St","Maynard","MA","(978) 897-5107","42.43216","-71.455123","Restaurants",
"Misono Grill","1095","1095 Commonwealth Ave Ste 207","Boston","MA","(617) 783-9188","42.352352895952","-71.124291103477","Restaurants",
