Business Name,Physical Address Number,Physical Address,Physical City,Physical State,Phone,Latitude,Longitude,Primary SIC Description,
"Calitri's Italian Cuisine","126","126 Newbury St","Danvers","MA","(978) 777-1266","42.569038","-70.974483","Restaurants",
"Polio Campero","188","188 Border St","East Boston","MA","(617) 568-9500","42.374784","-71.040695","Restaurants",
"Asados Dona Flor","197","197 High St","Lowell","MA","(978) 452-0175","42.64262","-71.3012156","Restaurants",
"Orinoco Restaurant","477","477 Shawmut Ave","Boston","MA","(617) 369-7075","42.338934","-71.075986","Restaurants",
"Peruvian Place","55","55 City Hall Plz","Brockton","MA","(508) 580-0147","42.0819864","-71.0184547","Restaurants",
"D & D Restaurant","3141","3141 Washington St","Jamaica Plain","MA","(617) 522-1111","42.314174","-71.100262","Restaurants",
"La Fonda Colombiana Antiguo Kiosko","972","972 Saratoga St","East Boston","MA","(617) 561-0101","42.387134","-71.007608","Restaurants",
"Restaurante Monte Cristo","36","36 Central Sq","East Boston","MA","(617) 561-6046","42.375461","-71.038863","Restaurants",
"Sabor De Minas Restaurant","240","240 Howard St","Framingham","MA","(508) 875-0202","42.278316","-71.413213","Restaurants",
"Rincon Limeno","409","409 Chelsea St","East Boston","MA","(617) 569-4942","42.379856","-71.026889","Restaurants",
"Casa Real","860","860 Dorchester Ave","Dorchester","MA","(617) 282-3135","42.321473","-71.0566429","Restaurants",
"Guanachapis Bar N Grill","154","154 River St","Waltham","MA","(781) 891-3535","42.370101","-71.222043","Restaurants",
"Montecristo","116","116 Central Ave","Lynn","MA","(781) 593-1548","42.464245","-70.950176","Restaurants",
"Acitron Mexican Bistro","473","473 Massachusetts Ave","Arlington","MA","(781) 777-2839","42.415226","-71.152039","Restaurants",
"Buono Bistro","220","220 Sutton St Ste 3","North Andover","MA","(978) 208-0654","42.707701","-71.131304","Restaurants",
"Millennium Restaurant & Grill","3094","3094 Washington St","Roxbury","MA","(617) 522-0505","42.315123","-71.098667","Restaurants",
"La Carreta Derry","35","35 Manchester Rd Ste 5a","Derry","NH","(603) 421-0091","42.900371","-71.33503","Restaurants",
"Pollo Royal Restaurant","529","529 Broadway","Revere","MA","(781) 284-6039","42.412265","-71.010462","Restaurants",
"Los Paisanos Restaurant","62","62 Broadway","Somerville","MA","(617) 629-3502","42.386555","-71.080745","Restaurants",
"Viva Mi Arepa","5197","5197 Washington St","West Roxbury","MA","(617) 323-7844","42.2614525","-71.1572876","Restaurants",
"Curly's Restaurant","150","150 Broadway","Chelsea","MA","(617) 889-5710","42.3894833","-71.040181","Restaurants",
"La Corona","83","83 Farmington Rd","Rochester","NH","(603) 948-1050","43.3330742","-71.00686","Restaurants",
"Tucasa Restaurant","403","403 Broadway","Chelsea","MA","(617) 887-0888","42.391942","-71.034987","Restaurants",
"Mana Escondido Cafe","68","68 Aguadilla St","Boston","MA","(617) 266-0900","42.3413573","-71.0757911","Restaurants",
"El Oriental De Cuba","416","416 Centre St","Jamaica Plain","MA","(617) 524-6464","42.32078","-71.110458","Restaurants",
