Business Name,Physical Address Number,Physical Address,Physical City,Physical State,Phone,Latitude,Longitude,Primary SIC Description,
"Red House","98","98 Winthrop St","Cambridge","MA","(617) 576-0605","42.372303","-71.121248","Restaurants",
"Committee","50","50 Northern Ave","Boston","MA","(617) 737-5051","42.3535851","-71.046119","Restaurants",
"Ristorante Villa Francesca","150","150 Richmond St","Boston","MA","(617) 367-2948","42.36342","-71.054525","Restaurants",
"Aegean Restaurant & Lounge","257","257 Cochituate Rd","Framingham","MA","(508) 879-8424","42.301906","-71.403439","Restaurants",
"Olympia Restaurant","453","453 Market St","Lowell","MA","(978) 452-8092","42.646366","-71.316209","Restaurants",
"Pasta Loft","220","220 E Main St","East Hampstead","NH","(603) 378-0092","42.889493","-71.137072","Restaurants",
"Plum Island Grille","2","2 Plum Island Blvd","Newbury","MA","(978) 463-2290","42.798602","-70.812855","Restaurants",
"Porcini's Restaurant","68","68 School St","Watertown","MA","(617) 924-2221","42.364806","-71.166677","Restaurants",
"Dates and Olives","160","160 Chestnut Hill Ave","Brighton","MA","(617) 515-0010","42.3414673","-71.1543312","Restaurants",
"Water Cafe at the Institute of","100","100 Northern Ave","Boston","MA","(617) 478-3291","42.3523709","-71.0435409","Restaurants",
"Steves Kitchen","120","120 Harvard Ave","Allston","MA","(617) 254-9457","42.3525009","-71.131756","Restaurants",
"Kasbah","59","59 Putnam St","Winthrop","MA","(617) 539-4484","42.374485","-70.985813","Restaurants",
"Metropolis Cafe","584","584 Tremont St","Boston","MA","(617) 247-2931","42.343238","-71.072545","Restaurants",
"Cannolis","920","920 Washington St","East Weymouth","MA","(781) 331-3664","42.20017","-70.939171","Restaurants",
"Tavolo","1918","1918 Dorchester Ave","Dorchester Center","MA","(617) 822-1918","42.283981","-71.064514","Restaurants",
"Nebo","520","520 Atlantic Ave","Boston","MA","(617) 723-6326","42.35364","-71.052984","Restaurants",
"CAVA","10","10 Commercial Aly Ste 1","Portsmouth","NH","(603) 319-1575","43.0776325","-70.7568838","Restaurants",
"Cafe Paprika","734","734 Washington St","Norwood","MA","(781) 440-0060","42.1914463","-71.2020444","Restaurants",
"Trattoria Pulcinella","147","147 Huron Ave","Cambridge","MA","(617) 491-6336","42.382855","-71.130713","Restaurants",
