Business Name,Physical Address Number,Physical Address,Physical City,Physical State,Phone,Latitude,Longitude,Primary SIC Description,
"Cazadores Mexican Restaurant","130","130 Middlesex Rd Ste 1","Tyngsboro","MA","(978) 226-5702","42.665976","-71.412551","Physicians & Surgeons",
"Margaritas Mexican Restaurant","211","211 Moody St","Waltham","MA","(781) 893-9990","42.3720898","-71.2378571","Restaurants",
"Sunset Cantina","916","916 Commonwealth Ave","Boston","MA","(617) 731-8646","42.350906","-71.116865","Restaurants",
"Margaritas Mexican Restaurant","1","1 Keewaydin Dr","Salem","NH","(603) 893-0110","42.774394","-71.2450042","Restaurants",
"Agave Mexican Bistro","50","50 State St","Newburyport","MA","(978) 499-0428","42.810141","-70.870434","Restaurants",
"Howling Wolf Taqueria","76","76 Lafayette St Ste 4b","Salem","MA","(978) 744-9653","42.519243","-70.893566","Restaurants",
"Painted Burro","219","219 Elm St","Somerville","MA","(617) 776-0005","42.394532","-71.121121","Restaurants",
"Taco Bell","1720","1720 Middlesex St","Lowell","MA","(978) 458-1883","42.635028","-71.353041","Restaurants",
"Loco South Boston","412","412 W Broadway","South Boston","MA","(617) 315-7179","42.3370566","-71.0476907","Restaurants",
"Splitsville","220","220 Patriot Pl","Foxboro","MA","(508) 698-2695","42.0934123","-71.265948","Restaurants",
"Lone Star Taco Bar","479","479 Cambridge St","Allston","MA","(617) 782-8226","42.353935","-71.137003","Restaurants",
"Polio Campero","115","115 Park St","Chelsea","MA","(617) 409-0125","42.389717","-71.037073","Restaurants",
"Polio Campero","188","188 Border St","East Boston","MA","(617) 568-9500","42.374784","-71.040695","Restaurants",
"The Colosseum Restaurant","264","264 N Broadway","Salem","NH","(603) 898-1190","42.794567","-71.235386","Restaurants",
"Masa Restaurant","439","439 Tremont St","Boston","MA","(617) 338-8884","42.346789","-71.069416","Restaurants",
"Taco Bell","124","124 Providence Hwy","East Walpole","MA","(508) 668-9501","42.1544400357297","-71.2048794780687","Restaurants",
"La Paloma Mexican Food","195","195 Newport Ave Ste 4","Quincy","MA","(617) 773-0512","42.269066","-71.0239299","Restaurants",
"Taco Bell","267","267 Highland Ave","Salem","MA","(978) 740-9933","42.502058","-70.924789","Restaurants",
"Jalapenos Grill","960","960 Main St","Walpole","MA","(508) 668-3900","42.14612","-71.2526029","Restaurants",
"Donatellos Restaurant","1699","1699 Shawsheen St Ste 1","Tewksbury","MA","(781) 233-9975","42.621552","-71.183455","Restaurants",
"Jalapenos Mexican Restaurant","86","86 Main St","Gloucester","MA","(978) 283-8228","42.612602","-70.664599","Restaurants",
"Rudys Cafe","248","248 Holland St","Somerville","MA","(617) 623-9201","42.403086","-71.127239","Restaurants",
"Taco Bell","79","79 Winthrop Ave","Lawrence","MA","(978) 794-0273","42.694334","-71.156817","Restaurants",
"Margaritas Mexican Restaurant","775","775 Lafayette Rd Ste 1","Portsmouth","NH","(603) 431-5828","43.053905","-70.768651","Restaurants",
"Azorean Restaurant & Bar","133","133 Washington St","Gloucester","MA","(978) 283-5500","42.6166886","-70.6690393","Restaurants",
"Josephs Two","805","805 Main St","Waltham","MA","(781) 899-4754","42.376497","-71.242562","Restaurants",
"Taco Bell","48","48 Washington St","Norwell","MA","(781) 982-0711","42.17336","-70.881282","Restaurants",
"Casa Verde","711","711 Centre St","Jamaica Plain","MA","(617) 477-9977","42.311411","-71.114672","Restaurants",
"Taco Bell","485","485 Boston Rd","Billerica","MA","(978) 663-3333","42.550858","-71.26391","Restaurants",
"Chipotle Mexican Grill","199","199 Boston Rd","North Billerica","MA","(978) 667-1980","42.5806929","-71.2891867","Restaurants",
"Dos Amigos Burritos","15","15 Portwalk Pl","Portsmouth","NH","(603) 373-6001","43.0776975569327","-70.7609216623479","Restaurants",
"Ole Mexican Grille","11","11 Springfield St","Cambridge","MA","(617) 492-4495","42.374065","-71.100144","Restaurants",
"Pocos Bow Street Cantina","37","37 Bow St","Portsmouth","NH","(603) 431-5967","43.0785939368971","-70.7570733961908","Restaurants",
"Taco Bell","1683","1683 Revere Beach Pkwy","Everett","MA","(617) 389-3338","42.402223","-71.042253","Restaurants",
"Anna's Taqueria","1","1 Porter Sq Ste 11","Cambridge","MA","(617) 661-8500","42.3893229587789","-71.1199354594012","Restaurants",
"Felipes Taqueria","21","21 Brattle St","Cambridge","MA","(617) 354-9944","42.373514","-71.120482","Restaurants",
"Chipotle Mexican Grill","176","176 Providence Hwy","Dedham","MA","(781) 329-2332","42.2611486348669","-71.1688802161403","Restaurants",
"Casa Romero","30","30 Gloucester St","Boston","MA","(617) 536-4341","42.349434","-71.084531","Restaurants",
"Taco Truck","83","83 Mount Auburn St","Cambridge","MA","(857) 829-3904","42.3725511","-71.1196176","Restaurants",
"Zuma TexMex","7","7 N Market St","Boston","MA","(617) 367-9114","42.3597457390144","-71.0557699984186","Restaurants",
"Taquera Jalisco","291","291 Bennington St","East Boston","MA","(617) 567-6367","42.3787","-71.028195","Restaurants",
"Taqueria Mexico","40","40 Concord St","Framingham","MA","(508) 875-8300","42.277521","-71.4171204","Restaurants",
"El Mariachi","207","207 Main St","Wareham","MA","(774) 678-0581","41.7586178","-70.7155425","Restaurants",
"Ixtapa Mexican Grill and Cantina","103","103 Nagog Park","Acton","MA","(978) 429-8251","42.5229857","-71.4321318","Restaurants",
"Rincon Mexicano","99","99 Broadway","Somerville","MA","(617) 776-1200","42.38756","-71.082791","Restaurants",
"Sea Breeze Mexican Grill","1782","1782 Dorchester Ave","Dorchester Center","MA","(617) 297-5205","42.289546","-71.063124","Restaurants",
"Acapulcos","900","900 Cummings Ctr Ste 101t","Beverly","MA","(978) 232-0100","42.5603371","-70.8865458","Restaurants",
"Anna's Taqueria","242","242 Cambridge St","Boston","MA","(617) 227-8822","42.360928","-71.0671","Restaurants",
"Primos Sandwich Shops","6","6 Mechanic St Ste 3","Foxboro","MA","(508) 543-7400","42.0655758","-71.2493072","Restaurants",
"Pollos A La Brasa Betos","69","69 Bennington St","East Boston","MA","(617) 561-6005","42.375696","-71.036431","Restaurants",
"Agave Mexican Bistro Dos","111","111 State St","Portsmouth","NH","(603) 427-5300","43.0770539","-70.75492","Restaurants",
"Chipotle Mexican Grill","444","444 Broadway","Saugus","MA","(781) 231-0175","42.4794711","-71.0202055","Restaurants",
"Qdoba Mexican Eats","185","185 Linden St","Wellesley","MA","(781) 235-3390","42.300238","-71.2909503","Restaurants",
"Anmol Indian Restaurant","258","258 Rantoul St","Beverly","MA","(978) 232-9009","42.5500609","-70.883751","Restaurants",
"Chipotle Mexican Grill","112","112 Commerce Way","Woburn","MA","(781) 933-5450","42.5160047","-71.1392769","Restaurants",
"Qdoba Mexican Eats","540","540 Commonwealth Ave","Boston","MA","(617) 437-1930","42.348445","-71.096683","Restaurants",
"Moe's Southwest Grill","90","90 Drum Hill Rd","Chelmsford","MA","(978) 459-6637","42.622548","-71.36235","Restaurants",
"Chipotle Mexican Grill","60","60 Newport Ave","Quincy","MA","(617) 328-0413","42.272563","-71.02723","Restaurants",
"Chipotle Mexican Grill","210","210 Andover St Ste E194a","Peabody","MA","(978) 531-4857","42.5413325","-70.9439351","Restaurants",
"La Hacienda Restaurant","150","150 Meridian St","East Boston","MA","(617) 561-3737","42.373978","-71.039232","Restaurants",
"La Fonda Palsa","46","46 Revere St","Revere","MA","(781) 289-5570","42.4168227","-71.0072488","Restaurants",
"El Potro Mexican Bar and Grill","61","61 Union Sq","Somerville","MA","(617) 666-4200","42.379888","-71.095581","Restaurants",
"Rostiria Cancun","145","145 Meridian St","East Boston","MA","(617) 567-1633","42.3737074","-71.0388742","Restaurants",
"Casablanca Mexican Restaurant & Cantina","99","99 Chelmsford Rd","North Billerica","MA","(978) 262-9030","42.588094","-71.306829","Restaurants",
"Casa Mariachi","49","49 Everett Ave","Chelsea","MA","(617) 887-1010","42.3927471","-71.0386067","Restaurants",
"Montecristo Restaurant","146","146 Broadway","Somerville","MA","(617) 628-8458","42.388064","-71.084987","Restaurants",
"Taco Mex","65","65 Maverick Sq","East Boston","MA","(617) 569-2838","42.36969","-71.038647","Restaurants",
"El Mondonguito","221","221 Dudley St","Roxbury","MA","(617) 522-3672","42.328385","-71.080591","Restaurants",
"Chipotle Mexican Grill","8","8 Park Plz","Boston","MA","(617) 248-3821","42.3513773","-71.0687412","Restaurants",
"Restaurante Monte Cristo","36","36 Central Sq","East Boston","MA","(617) 561-6046","42.375461","-71.038863","Restaurants",
"Taquerya Restaurant El Tryunfo","147","147 E Berkeley St","Boston","MA","(617) 542-8499","42.343502","-71.064796","Restaurants",
"Sabor De Minas Restaurant","240","240 Howard St","Framingham","MA","(508) 875-0202","42.278316","-71.413213","Restaurants",
"Tacos Lupita","194","194 River St","Haverhill","MA","(978) 374-1839","42.768748","-71.091681","Restaurants",
"Loco's","913","913 Washington St","Braintree","MA","(781) 849-1121","42.202768","-71.005279","Restaurants",
"Chipotle Mexican Grill","616","616 Fellsway","Medford","MA","(781) 393-6871","42.406119","-71.08301","Restaurants",
"Grandes Sandwichs","61","61 Essex St","Lawrence","MA","(978) 208-4620","42.70797","-71.155066","Restaurants",
"Tacos Lupita","505","505 Broadway","Lawrence","MA","(978) 681-4517","42.714988","-71.176185","Restaurants",
"Cilantro Inc","282","282 Derby St Ste 1","Salem","MA","(978) 745-9436","42.5206228","-70.8912606","Restaurants",
"Acapulcos","500","500 Boston Providence Tpke Ste 8","Norwood","MA","(781) 762-4440","42.1954232","-71.1837801","Restaurants",
"Angelas Cafe","131","131 Lexington St","East Boston","MA","(617) 567-4972","42.378528","-71.034995","Restaurants",
"Cancun Restaurant","432","432 Broadway","Everett","MA","(617) 381-0140","42.4071332178902","-71.0556562149175","Restaurants",
"Rincon Limeno","409","409 Chelsea St","East Boston","MA","(617) 569-4942","42.379856","-71.026889","Restaurants",
"La Dolce Vita","221","221 Hanover St","Boston","MA","(617) 720-0422","42.362815","-71.055175","Restaurants",
"Taco Bell","322","322 S Broadway","Salem","NH","(603) 890-3514","42.755092","-71.209613","Restaurants",
"La Siesta Restaurante","70","70 Woodside Ave","Winthrop","MA","(617) 846-2300","42.3741638","-70.9860744","Restaurants",
"Casa Real","860","860 Dorchester Ave","Dorchester","MA","(617) 282-3135","42.321473","-71.0566429","Restaurants",
"Anna's Taqueria","446","446 Harvard St","Brookline","MA","(617) 277-7111","42.3461542","-71.1281439","Restaurants",
"Guanachapis Bar N Grill","154","154 River St","Waltham","MA","(781) 891-3535","42.370101","-71.222043","Restaurants",
"Fresh Tortillas","475","475 W Broadway","South Boston","MA","(617) 269-0061","42.3355673","-71.0461112","Restaurants",
"Las Olas Taqueria","30","30 Portsmouth Ave","Exeter","NH","(603) 418-8901","42.982248","-70.940919","Restaurants",
"Tugs Mexican","33","33 Union Ave","Wareham","MA","(508) 291-4256","41.7398399173915","-70.7220527780883","Restaurants",
"Mija Cantina & Tequilla Bar","1","1 Faneuil Hall Sq","Boston","MA","(857) 284-7382","42.360039","-71.056238","Restaurants",
"Friendly Toast","35","35 Stanhope St","Boston","MA","(617) 456-7849","42.34851","-71.073246","Restaurants",
"Acitron Mexican Bistro","473","473 Massachusetts Ave","Arlington","MA","(781) 777-2839","42.415226","-71.152039","Restaurants",
"Habierano Mexican Grill","166","166 Brighton Ave","Allston","MA","(617) 254-0299","42.3529191","-71.1328417","Restaurants",
"CK Shanghai","15","15 Washington St","Wellesley Hills","MA","(781) 237-7500","42.3253628","-71.2600521","Restaurants",
"Plaza Azteca","552","552 Broadway","Methuen","MA","(978) 794-0908","42.740369","-71.197933","Restaurants",
"Casa Blanca Mexican","10","10 Main St Ste 12","Andover","MA","(978) 289-4165","42.656465","-71.140219","Restaurants",
"Lolita Cocina & Tequila Bar","271","271 Dartmouth St Apt 5j","Boston","MA","(617) 369-5609","42.3507373","-71.0773412","Restaurants",
"Comida Mexican Taqueria","131","131 Essex St Ste 1","Salem","MA","(978) 594-8054","42.521994","-70.89134","Restaurants",
"Red Ginger","117","117 Great Rd Ste 3a","Stow","MA","(978) 897-9998","42.434679","-71.485855","Restaurants",
"Las Palmas Mexican Restaurant","4337","4337 Washington St","Roslindale","MA","(617) 323-3339","42.283444","-71.131598","Restaurants",
"Elpelon Taqueria","92","92 Peterborough St","Boston","MA","(617) 779-9090","42.343086","-71.099084","Restaurants",
"Chipotle Mexican Grill","93","93 Turnpike St","North Andover","MA","(978) 688-1883","42.676017","-71.131725","Restaurants",
"Tostado Sandwich Bar","300","300 Centre St","Jamaica Plain","MA","(617) 477-8691","42.322758","-71.103057","Restaurants",
"Tico Boston","222","222 Berkeley St","Boston","MA","(617) 351-0400","42.350664","-71.073352","Restaurants",
"Moe's Southwest Grill","1274","1274 Worcester St","Natick","MA","(508) 653-4700","42.298833","-71.381522","Restaurants",
"La Carreta Derry","35","35 Manchester Rd Ste 5a","Derry","NH","(603) 421-0091","42.900371","-71.33503","Restaurants",
"Cinco De Mayo Restaurant","124","124 Centennial Ave","Revere","MA","(781) 289-4480","42.4069018","-70.9931137","Restaurants",
"Qdoba Mexican Eats","2421","2421 Cranberry Hwy Ste 304","Wareham","MA","(508) 273-9925","41.7746009","-70.7446155","Restaurants",
"Maya Sol","179","179 Broadway","Somerville","MA","(617) 776-9179","42.389147","-71.086263","Restaurants",
"Chipotle Mexican Grill","237","237 Boston Post Rd W","Marlborough","MA","(508) 480-8412","42.3393299","-71.590586","Restaurants",
"Pollo Royal Restaurant","529","529 Broadway","Revere","MA","(781) 284-6039","42.412265","-71.010462","Restaurants",
"Chipotle Mexican Grill","300","300 Needham St","Newton Upper Falls","MA","(617) 244-5011","42.3082","-71.215016","Restaurants",
"Chipotle Mexican Grill","250","250 Granite St Ste 153","Braintree","MA","(781) 843-1397","42.2220443","-71.0227762","Restaurants",
"Chipotle Mexican Grill","1415","1415 Boston Providence Tpke","Norwood","MA","(781) 762-2550","42.1633655","-71.2016042","Restaurants",
"Tony's Place","188","188 Baker St","West Roxbury","MA","(617) 323-3550","42.2760273","-71.1672512","Restaurants",
"Chipotle Mexican Grill","274","274 Elm St","Somerville","MA","(617) 623-1759","42.395966","-71.122396","Restaurants",
"Chipotle Mexican Grill","227","227 Alewife Brook Pkwy Spc B5","Cambridge","MA","(617) 500-9373","42.389251","-71.143297","Restaurants",
"Margaritas Mexican Restaurant","23","23 Members Way","Dover","NH","(603) 743-6363","43.2145127761263","-70.9020986380895","Restaurants",
"Marias Taqueria","226","226 Tremont St Apt 1","Boston","MA","(617) 357-7399","42.351393","-71.064572","Restaurants",
"Fish Market","170","170 Brighton Ave","Allston","MA","(617) 783-1268","42.3529196","-71.1329823","Restaurants",
"Mikes Restaurant","9","9 Davis Sq","Somerville","MA","(617) 628-2379","42.3966275902272","-71.1222344622731","Restaurants",
"Taqueria El Amigo","196","196 Willow St","Waltham","MA","(781) 642-7410","42.370488","-71.220652","Restaurants",
"Acapulco's","694","694 Boston Post Rd","Sudbury","MA","(978) 443-3970","42.360791","-71.44576","Restaurants",
"Chipotle Mexican Grill","92","92 Derby St Ste 100","Hingham","MA","(781) 741-9890","42.178659","-70.909201","Restaurants",
"Taco Bell","1201","1201 Broadway Spc F202","Saugus","MA","(781) 231-9866","42.4612977","-71.0278527","Restaurants",
"Qdoba Mexican Eats","756","756 Legacy Pl","Dedham","MA","(781) 471-5204","42.2309409","-71.1773683","Restaurants",
"Regal Beagle","308","308 Harvard St","Brookline","MA","(617) 739-5151","42.343058","-71.123306","Restaurants",
"Chipotle Mexican Grill","1","1 Worcester Rd","Framingham","MA","(508) 879-0823","42.3019866","-71.394939","Restaurants",
"Rincon Latino","39","39 Hollis St","Framingham","MA","(508) 879-7406","42.275901","-71.4170089","Restaurants",
"Phon Rice Restaurant","289","289 Beacon St","Somerville","MA","(617) 864-8888","42.3836316","-71.1127122","Restaurants",
"Las Palmas Mexican Restaurant","445","445 Essex St","Lawrence","MA","(978) 557-0045","42.706562","-71.164644","Restaurants",
"Connies Restaurant","270","270 Main St","Hanson","MA","(781) 294-8988","42.0433042","-70.8519179","Restaurants",
"Los Paisanos Restaurant","62","62 Broadway","Somerville","MA","(617) 629-3502","42.386555","-71.080745","Restaurants",
"Takara","592","592 Washington St","Canton","MA","(781) 821-8822","42.1538267","-71.1465873","Restaurants",
"Sugar & Spice Restaurant","1933","1933 Massachusetts Ave","Cambridge","MA","(617) 868-4200","42.3896609","-71.119914","Restaurants",
"Guanachapis Restaurant","273","273 Moody St","Waltham","MA","(781) 788-8590","42.3715905","-71.2372063","Restaurants",
"Chipotle Mexican Grill","485","485 Arsenal St Ste 96","Watertown","MA","(617) 924-0216","42.3624581","-71.1607724","Restaurants",
"Chipotle Mexican Grill","110","110 Mall Rd","Burlington","MA","(781) 345-1195","42.4864292","-71.2120793","Restaurants",
"Ideas In Taste","3","3 Hampton Rd","Norfolk","MA","(508) 520-3790","42.097661","-71.3490238","Restaurants",
"Beantown Taqueria","245","245 Massachusetts Ave","Cambridge","MA","(617) 441-8689","42.3617376","-71.0971191","Restaurants",
"Chipotle Mexican Grill","55","55 Dodge St","Beverly","MA","(978) 816-7955","42.575604","-70.889823","Restaurants",
"Chipotle Mexican Grill","598","598 Massachusetts Ave","Cambridge","MA","(857) 500-4066","42.364925","-71.103298","Restaurants",
"La Ultima Parada","20","20 Marychris Dr","Hudson","MA","(508) 861-3380","42.3973527","-71.5500717","Restaurants",
"La Corona","83","83 Farmington Rd","Rochester","NH","(603) 948-1050","43.3330742","-71.00686","Restaurants",
"Taqueria Inc","80","80 Walnut St","Peabody","MA","(978) 854-6657","42.5260791","-70.9203586","Restaurants",
"Jalapeno Mexican Grill","929","929 Main St","Millis","MA","(508) 376-0101","42.1664784","-71.3604183","Restaurants",
"Little Red Smoke House","145","145 S Main St","Carver","MA","(508) 465-0018","41.838047","-70.7501655","Restaurants",
"Primos Mexican Food & Cantina","2","2 Union St","Lynn","MA","(781) 584-4549","42.4687949","-70.93707","Restaurants",
"El Taco Guapo Restaurant LLC","205","205 Broadway","Lawrence","MA","(978) 655-3126","42.707667","-71.170045","Restaurants",
"Veggie Galaxy","450","450 Massachusetts Ave Ste 2","Cambridge","MA","(617) 497-1513","42.3635189","-71.101074","Restaurants",
"El Tapatio Mexican Restaurant","300","300 Newburyport Tpke Ste 5","Rowley","MA","(978) 432-1336","42.71301","-70.907712","Restaurants",
