Business Name,Physical Address Number,Physical Address,Physical City,Physical State,Phone,Latitude,Longitude,Primary SIC Description,
"Shadi's Restaurant & Lounge","585","585 Chickering Rd","North Andover","MA","(978) 683-9559","42.69697","-71.118636","Restaurants",
"Sofra Bakery & Cafe","1","1 Belmont St","Cambridge","MA","(617) 661-3161","42.3749","-71.1503564","Restaurants",
"Kasbah","59","59 Putnam St","Winthrop","MA","(617) 539-4484","42.374485","-70.985813","Restaurants",
"Anatolia","305","305 Washington St","Brookline","MA","(617) 277-4466","42.3334339","-71.1195709","Restaurants",
"Boston Shawarma","315","315 Huntington Ave","Boston","MA","(617) 670-0460","42.341187","-71.087639","Restaurants",
"Moby Dick of Boston","269","269 Huntington Ave","Boston","MA","(617) 236-5511","42.3419979","-71.086362","Restaurants",
"South End Pita","473","473 Albany St","Boston","MA","(617) 556-2600","42.3397706","-71.0649991","Restaurants",
"Shiraz Cuisine","72","72 Bigelow Ave","Watertown","MA","(617) 923-2222","42.368411","-71.157181","Restaurants",
"Cafe Mangal","555","555 Washington St Ste 1","Wellesley","MA","(781) 235-5322","42.296833","-71.292675","Restaurants",
"Fordees Falafel & Deli","555","555 Mount Auburn St","Watertown","MA","(617) 923-3673","42.370119","-71.160235","Restaurants",
"Kareem Restaurant","99","99 Common St","Watertown","MA","(617) 393-1880","42.371499","-71.178618","Restaurants",
"Korbani's Bakery","77","77 Swan St","Methuen","MA","(978) 686-2268","42.722708","-71.157709","Restaurants",
"Asahi Restaurant","44","44 Nashua Rd","Londonderry","NH","(603) 437-1688","42.8664969","-71.3492829","Restaurants",
"Sarma","249","249 Pearl St","Somerville","MA","(617) 764-4464","42.3882464","-71.0955295","Restaurants",
"Shawarma Shack","84","84 Massachusetts Ave","Cambridge","MA","(617) 324-5568","42.3590516","-71.0947584","Restaurants",
"Noor Mediterranean Grill","136","136 College Ave","Somerville","MA","(617) 625-6667","42.4005268623596","-71.1175529490044","Restaurants",
"404 Bar Tapas Lounge","404","404 Harvard St","Brookline","MA","(617) 383-6268","42.345036","-71.126841","Restaurants",
"To Beirut","15","15 Cottage St E","Norwood","MA","(781) 769-3663","42.193461","-71.20059","Restaurants",
"Moroccan Hospitality","585","585 Somerville Ave","Somerville","MA","(617) 623-0020","42.3839061","-71.1087189","Restaurants",
"Christo's To Go","785","785 Bedford St Ste 3","Whitman","MA","(508) 588-4200","42.0822411","-70.9469371","Restaurants",
"Famous Pizza","956","956 Pleasant St","Framingham","MA","(508) 877-4400","42.3079834305836","-71.4769767880664","Restaurants",
"Moldova","344","344 Watertown St","Newton","MA","(617) 916-5268","42.360643","-71.200329","Restaurants",
"Shawarma Falafel","26","26 Province St","Boston","MA","(857) 265-3017","42.3571899","-71.0596526","Restaurants",
"Sabzi","352","352 Massachusetts Ave","Arlington","MA","(781) 753-0150","42.411152","-71.1484462","Restaurants",
"Falafel King III Inc","62","62 Summer St","Boston","MA","(617) 482-2223","42.354416","-71.058478","Restaurants",
"Pita Cambridge","12","12 Springfield St","Cambridge","MA","(617) 945-1214","42.374058","-71.1000959","Restaurants",
"Markouk Bread Bread","338","338 Main St","Gloucester","MA","(978) 283-3500","42.6165794","-70.6545029","Restaurants",
"Lala Rokh On Beacon Hill","97","97 Mount Vernon St Unit 1","Boston","MA","(617) 720-5511","42.358054","-71.069719","Restaurants",
"Jocelyn's Mediterranean Restaurant","355","355 S Broadway","Salem","NH","(603) 870-0045","42.7532631639472","-71.2070615054152","Restaurants",
"Salem Kabob & Pizzeria","401","401 Main St Ste 108","Salem","NH","(603) 870-0018","42.793513","-71.18451","Restaurants",
"Helmand Restaurant","143","143 1st St","Cambridge","MA","(617) 492-4646","42.366451","-71.078084","Restaurants",
"Oleana","134","134 Hampshire St","Cambridge","MA","(617) 661-0505","42.370543","-71.09721","Restaurants",
"Moody's Falafal Palace","25","25 Central Sq","Cambridge","MA","(617) 864-0827","42.365414","-71.104669","Restaurants",
"Commodore Grill","259","259 E Main St","East Hampstead","NH","(603) 378-2155","42.891332","-71.138952","Restaurants",
"The Chubby Chickpea","120","120 Jackson St","Canton","MA","(781) 828-6868","42.163089","-71.1553249","Restaurants",
"Sabbs Market Inc","1001","1001 Boston Providence Tpke Ste 2","Norwood","MA","(781) 440-0063","42.1775636","-71.1927323","Restaurants",
"Phoenician Restaurant","12","12 Alpha St","Haverhill","MA","(978) 373-1714","42.775859","-71.130218","Restaurants",
"Crystal's Kitchen","4","4 S Main St Ste 5","West Bridgewater","MA","(508) 510-5670","42.0189112","-71.0061226","Restaurants",
"Eastern Lamejun Bakers Inc","145","145 Belmont St","Belmont","MA","(617) 484-5239","42.3756389","-71.1560931","Restaurants",
"Sahara Club & Restaurant","34","34 Bates St","Methuen","MA","(978) 683-9200","42.729467","-71.144534","Restaurants",
"Faiasei King","1504","1504 Hancock St","Quincy","MA","(617) 773-0100","42.2481382","-71.0012228","Restaurants",
"Molana Restaurants","5","5 Spring St","Watertown","MA","(617) 923-2554","42.365722","-71.1844","Restaurants",
"West End Strollers","1","1 Faneuil Hall Market Pl","Boston","MA","(617) 720-6020","42.359767226036","-71.053461385707","Restaurants",
"Ariana Restaurant Inc","384","384 Western Ave","Brighton","MA","(617) 208-8072","42.3624537","-71.1389246","Restaurants",
"Sayde's Bar & Grill","136","136 Cluff Crossing Rd","Salem","NH","(603) 890-1032","42.761798","-71.224848","Restaurants",
"Jerusalem Pita","10","10 Pleasant St","Brookline","MA","(617) 739-2400","42.343072","-71.12015","Restaurants",
"Azama Grill Inc","54","54 Harvard Ave","Allston","MA","(617) 779-0003","42.354357","-71.132245","Restaurants",
"Tabrizi Bakery","56","56 Mount Auburn St Ste A","Watertown","MA","(617) 926-0880","42.366336","-71.182411","Restaurants",
