Business Name,Physical Address Number,Physical Address,Physical City,Physical State,Phone,Latitude,Longitude,Primary SIC Description,
"Lobster Hut","25","25 Town Wharf","Plymouth","MA","(508) 746-2270","41.962674","-70.667443","Restaurants",
"Gateway Tavern","371","371 Marion Rd","Wareham","MA","(508) 291-6040","41.7423396","-70.7420941","Restaurants",
"Shea's Riverside Restaurant & Bar","122","122 Main St","Essex","MA","(978) 768-6931","42.630893","-70.774478","Restaurants",
"Row 34","383","383 Congress St","Boston","MA","(617) 553-5900","42.3496073","-71.0476411","Restaurants",
"Eddie V's Prime Seafood","50","50 South Ave","Burlington","MA","(781) 221-7151","42.4828362","-71.2196288","Restaurants",
"Ninety Nine Restaurant & Pub","13","13 Commonwealth Ave","Concord","MA","(978) 369-0300","42.456391","-71.392892","Restaurants",
"Telly's Restaurant & Pizza","235","235 Calef Hwy","Epping","NH","(603) 679-8225","43.0397196513844","-71.0658811830581","Restaurants",
"Alden Park Bar and Grill","160","160 Colony Place Rd","Plymouth","MA","(508) 830-6777","41.9540978","-70.7127207","Restaurants",
"Rays Seafood","1677","1677 Ocean Blvd","Rye","NH","(603) 436-2280","43.0045387","-70.7459529","Restaurants",
"Oar House","55","55 Ceres St","Portsmouth","NH","(603) 436-4025","43.0789810757921","-70.7581809768556","Restaurants",
"China Blossom","946","946 Osgood St","North Andover","MA","(978) 682-2242","42.711429","-71.118913","Restaurants",
"Calitri's Italian Cuisine","126","126 Newbury St","Danvers","MA","(978) 777-1266","42.569038","-70.974483","Restaurants",
"Sunset Cantina","916","916 Commonwealth Ave","Boston","MA","(617) 731-8646","42.350906","-71.116865","Restaurants",
"Noon Hill Grill","530","530 Main St","Medfield","MA","(508) 359-9155","42.185647","-71.307893","Restaurants",
"Venezia Waterfront Restaurant & Banquet Facility","20","20 Ericsson St","Dorchester","MA","(617) 436-3120","42.291745","-71.04032","Restaurants",
"Bambara Kitchen & Barcambridge","25","25 Edwin H Land Blvd","Cambridge","MA","(617) 868-4444","42.368026","-71.075255","Restaurants",
"Ninety Nine Restaurant & Pub","428","428 Lincoln St","Hingham","MA","(781) 740-8599","42.247967","-70.925831","Restaurants",
"Dubes Seafood","317","317 Jefferson Ave","Salem","MA","(978) 744-9531","42.502316","-70.89928","Restaurants",
"Ninety Nine Restaurant & Pub","20","20 Cummings St","Somerville","MA","(617) 629-0599","42.393955","-71.083764","Restaurants",
"Boston Sail Loft Restaurant","80","80 Atlantic Ave","Boston","MA","(617) 227-7280","42.362452","-71.0505419","Restaurants",
"Restaurant 45","45","45 Milford St Unit 1","Medway","MA","(508) 533-8171","42.1444912","-71.4436875","Restaurants",
"Minado Restaurant","1282","1282 Worcester St","Natick","MA","(508) 647-0495","42.298159","-71.3818469","Restaurants",
"North 26th","26","26 North St","Boston","MA","(617) 523-4119","42.3607973","-71.0562612","Restaurants",
"Ninety Nine Restaurant & Pub","672","672 Boston Rd","Billerica","MA","(978) 667-9789","42.541148","-71.247498","Restaurants",
"Siros Marina Bay","307","307 Victory Rd","Quincy","MA","(617) 472-4500","42.299293","-71.028538","Restaurants",
"Brewer's Fork","7","7 Moulton St","Charlestown","MA","(617) 337-5703","42.3767228","-71.0565796","Restaurants",
"Bailey's Surf N Turf","3056","3056 Cranberry Hwy","East Wareham","MA","(508) 295-1700","41.7570928","-70.6524964","Restaurants",
"Fish Bones","34","34 Central Sq","Chelmsford","MA","(978) 250-0101","42.5959940191743","-71.3522255085589","Restaurants",
"Old Ferry Landing","10","10 Ceres St","Portsmouth","NH","(603) 431-5510","43.0788465","-70.7570165","Restaurants",
"Isaac's Restaurant","114","114 Water St","Plymouth","MA","(508) 830-0001","41.9601088","-70.6660466","Restaurants",
"Bull Run Restaurant","215","215 Great Rd","Shirley","MA","(978) 425-4311","42.5845464","-71.6461813","Restaurants",
"East Coast Seafood Inc","448","448 Boston St","Topsfield","MA","(978) 561-3800","42.6609937","-70.9312861","Restaurants",
"Coach Grill","55","55 Boston Post Rd","Wayland","MA","(508) 358-5900","42.360514","-71.334265","Restaurants",
"Rons Landing","379","379 Ocean Blvd","Hampton","NH","(603) 929-2122","42.917029","-70.806564","Restaurants",
"Blue Marlin Grille","65","65 Eastern Ave","Essex","MA","(978) 768-7400","42.631744","-70.765745","Restaurants",
"Clam Box of Ipswich","246","246 High St","Ipswich","MA","(978) 356-9707","42.695761","-70.867089","Restaurants",
"Woodmans of Essex","121","121 Main St","Essex","MA","(978) 768-2559","42.63024","-70.774645","Restaurants",
"Paddys Restaurant","27","27 International Dr","Portsmouth","NH","(603) 430-9450","43.086194","-70.807396","Restaurants",
"Lone Oak Ice Cream","175","175 Milton Rd","Rochester","NH","(603) 332-1809","43.35376","-70.977582","Restaurants",
"Mission On The Bay","141","141 Humphrey St","Swampscott","MA","(781) 691-9277","42.4678285","-70.9171526","Restaurants",
"Franks Steak House","2310","2310 Massachusetts Ave","Cambridge","MA","(617) 661-0666","42.395412","-71.128282","Restaurants",
"Ristorante Molise","1","1 Market Sq","Amesbury","MA","(978) 388-4844","42.8669242456603","-70.9290364599963","Restaurants",
"Barking Crab","88","88 Sleeper St","Boston","MA","(617) 426-2722","42.3537702","-71.0487009","Restaurants",
"Highland Fried","1271","1271 Cambridge St","Cambridge","MA","(617) 714-4662","42.37359","-71.098601","Restaurants",
"Ristorante Villa Francesca","150","150 Richmond St","Boston","MA","(617) 367-2948","42.36342","-71.054525","Restaurants",
"Bertinis Inc","284","284 Canal St","Salem","MA","(978) 744-1436","42.502154","-70.896315","Restaurants",
"Maddies Sail Loft","15","15 State St","Marblehead","MA","(781) 631-9824","42.504943","-70.848545","Restaurants",
"Rosewood Restaurant","445","445 Hartford Ave","Bellingham","MA","(508) 966-1126","42.130727","-71.449414","Restaurants",
"Jumpin Jays Fish Cafe","150","150 Congress St","Portsmouth","NH","(603) 766-3474","43.0757157","-70.7605859","Restaurants",
"Windjammers Seafood Restaurant","240","240 Portland St","Rochester","NH","(603) 332-9622","43.3048209","-70.9727118","Restaurants",
"Ninety Nine Restaurant & Pub","10","10 Main St","Stoneham","MA","(781) 279-0399","42.50092","-71.100827","Restaurants",
"Moonstones","185","185 Chelmsford St","Chelmsford","MA","(978) 256-7777","42.607383","-71.341588","Restaurants",
"Mt Auburn Grill","645","645 Mount Auburn St","Watertown","MA","(617) 923-8013","42.37149","-71.15707","Restaurants",
"Novatos","218","218 Dedham St","Norfolk","MA","(508) 384-5122","42.0906384","-71.299934","Restaurants",
"Aegean Restaurant & Lounge","257","257 Cochituate Rd","Framingham","MA","(508) 879-8424","42.301906","-71.403439","Restaurants",
