Business Name,Physical Address Number,Physical Address,Physical City,Physical State,Phone,Latitude,Longitude,Primary SIC Description,
"Panera Bread","296","296 Mishawum Rd","Woburn","MA","(781) 376-9660","42.5048143","-71.1327882","Restaurants",
"Panera Bread","200","200 Hancock St","Quincy","MA","(617) 328-5473","42.278709","-71.031409","Restaurants",
"Cosi","290","290 Main St Ste 6","Cambridge","MA","(617) 868-5810","42.3621241","-71.0854833","Restaurants",
"Panera Bread","100","100 Independence Way Ste A1","Danvers","MA","(978) 646-9942","42.552383","-70.940218","Restaurants",
"Panera Bread","1465","1465 Woodbury Ave Ste 13","Portsmouth","NH","(603) 559-9000","43.089025","-70.7882319","Restaurants",
"Panera Bread","25","25 Mystic View Rd","Everett","MA","(617) 387-8135","42.4008242816794","-71.0710310838907","Restaurants",
"Panera Bread","321","321 Arsenal St Ste 3","Watertown","MA","(617) 923-2918","42.3627596","-71.1646781","Restaurants",
"Panera Bread","433","433 Paradise Rd","Swampscott","MA","(781) 598-1188","42.481234","-70.90154","Restaurants",
"Panera Bread","1334","1334 Park St","Stoughton","MA","(781) 297-0975","42.102284","-71.065573","Restaurants",
"Panera Bread","647","647 Broadway","Saugus","MA","(781) 941-2220","42.479168","-71.024371","Restaurants",
"Panera Bread","400","400 Cochituate Rd Ste 4","Framingham","MA","(508) 626-3636","42.305607","-71.3977028","Restaurants",
"Panera Bread","120","120 Highland Ave Ste 4","Needham Heights","MA","(781) 453-4005","42.304955","-71.218528","Restaurants",
"Panera Bread","1401","1401 Washington St","Hanover","MA","(781) 829-9900","42.144729","-70.843999","Restaurants",
"Panera Bread","200","200 High St Lbby 1","Boston","MA","(617) 951-1330","42.356816","-71.051811","Restaurants",
"Panera Bread","92","92 Derby St","Hingham","MA","(781) 740-2550","42.178659","-70.909201","Restaurants",
"Panera Bread","197","197 Boston Post Rd W Ste L","Marlborough","MA","(508) 281-6161","42.3391594","-71.5905116","Restaurants",
"Panera Bread","90","90 Middlesex Tpke","Burlington","MA","(781) 272-1365","42.4781707","-71.2163551","Restaurants",
"Panera Bread","8","8 Allstate Rd # B","Dorchester","MA","(617) 602-4961","42.3279088","-71.0630822","Restaurants",
"Panera Bread","138","138 Colony Place Rd","Plymouth","MA","(508) 830-3844","41.955853","-70.713338","Restaurants",
"Panera Bread","841","841 Central Ave","Dover","NH","(603) 743-5100","43.2173017","-70.8815364","Restaurants",
"D'Angelo Grilled Sandwiches","207","207 Mechanic St","Bellingham","MA","(508) 966-0780","42.083025","-71.4533737","Restaurants",
"D'Angelo Grilled Sandwiches","10","10 Park Plz","Boston","MA","(617) 742-6431","42.351028","-71.069461","Restaurants",
"Panera Bread","841","841 Worcester St","Natick","MA","(508) 907-6226","42.301063","-71.35882","Restaurants",
"Panera Bread","130","130 Providence Hwy","East Walpole","MA","(508) 668-0280","42.153528","-71.204345","Restaurants",
"Panera Bread","450","450 Boylston St","Boston","MA","(617) 638-3260","42.3507273","-71.0731612","Restaurants",
"Panera Bread","55","55 Storey Ave","Newburyport","MA","(978) 465-0646","42.820391","-70.907303","Restaurants",
"Panera Bread","1301","1301 Belmont St","Brockton","MA","(508) 587-1520","42.058293","-71.069249","Restaurants",
"Panera Bread","289","289 Huntington Ave","Boston","MA","(617) 425-8565","42.34171","-71.086606","Restaurants",
"Panera Bread","1241","1241 Centre St","Newton Center","MA","(617) 559-9850","42.330769","-71.194935","Restaurants",
"Panera Bread","400","400 Franklin St Ste 5","Braintree","MA","(781) 356-0602","42.2108914","-71.0191779","Restaurants",
"Panera Bread","201","201 W Brookline St","Boston","MA","(617) 247-0174","42.343536","-71.076414","Restaurants",
"D'Angelo Grilled Sandwiches","208","208 Main St Ste 2","Weymouth","MA","(781) 331-4777","42.200081","-70.955186","Restaurants",
"Panera Bread","34","34 Cambridge St Ste 11","Burlington","MA","(781) 272-1365","42.484092","-71.188917","Restaurants",
"Panera Bread","58","58 Peters St","North Andover","MA","(978) 682-8636","42.6752829136862","-71.1273283615475","Restaurants",
"Panera Bread","2","2 Cornerstone Sq","Westford","MA","(978) 692-2863","42.5668569","-71.425048","Restaurants",
"Panera Bread","213","213 Burlington Rd Ste 105","Bedford","MA","(781) 918-0520","42.501306","-71.235498","Restaurants",
"Panera Bread","1684","1684 Massachusetts Ave","Lexington","MA","(781) 372-3246","42.4465637","-71.2264657","Restaurants",
"Panera Bread","228","228 Main St","Wilmington","MA","(978) 658-3074","42.5555839","-71.1787078","Restaurants",
"Panera Bread","1096","1096 Lexington St","Waltham","MA","(781) 547-5655","42.4129060002962","-71.2332395470004","Restaurants",
"Panera Bread","66","66 Parkhurst Rd","Chelmsford","MA","(978) 654-7990","42.623481445904","-71.3601660041952","Restaurants",
"Panera Bread","1288","1288 Massachusetts Ave","Cambridge","MA","(617) 868-0651","42.3725909","-71.1169769","Restaurants",
"Cosi","399","399 Boylston St","Boston","MA","(857) 350-3119","42.3517938","-71.0722117","Restaurants",
"Panera Bread","1030","1030 Main St","Waltham","MA","(781) 899-2116","42.375605","-71.252463","Restaurants",
"Spoodles Soup Factory Belmont","374","374 Trapelo Rd","Belmont","MA","(617) 932-1752","42.3855866","-71.1845248","Restaurants",
"Panera Bread","152","152 Church St","Pembroke","MA","(781) 499-1107","42.1079467840966","-70.7704431695896","Restaurants",
"Not Your Average Joe's","70","70 University Ave","Westwood","MA","(781) 355-4400","42.2095548","-71.1502791","Restaurants",
"Panera Bread","430","430 Market St","Lynnfield","MA","(781) 334-4061","42.5146862","-71.0344211","Restaurants",
"Panera Bread","103","103 Taunton St","Plainville","MA","(508) 643-4515","42.0339675","-71.3102084","Restaurants",
"Panera Bread","188","188 Boston Rd","North Billerica","MA","(978) 330-7386","42.5828124","-71.2895339","Restaurants",
"Panera Bread","2","2 Highland Cmn E","Hudson","MA","(978) 763-8160","42.3949044695694","-71.5948664161902","Restaurants",
"Panera Bread","499","499 Riverside Ave","Medford","MA","(617) 420-0180","42.409714","-71.085464","Restaurants",
"Panera Bread","201","201 University Ave","Westwood","MA","(781) 471-2069","42.205176","-71.15379","Restaurants",
"D'Angelo Grilled Sandwiches","765","765 Bridge St","North Weymouth","MA","(781) 340-3385","42.2458596","-70.9343891","Restaurants",
"The Soupery","30","30 Main St","Durham","NH","(603) 815-4164","43.1339879177666","-70.925261917948","Restaurants",
"Smack Noodle","45","45 Main St","Maynard","MA","(978) 252-4665","42.432518","-71.452306","Restaurants",
"Soup Shack Asian Noodle Soup","779","779 Centre St","Jamaica Plain","MA","(617) 477-9805","42.3099698","-71.1156009","Restaurants",
"Not Your Average Joe's","1265","1265 Main St","Waltham","MA","(781) 966-5637","42.3767120511348","-71.2641186026622","Restaurants",
"Cosi","500","500 Rutherford Ave Ste 130","Charlestown","MA","(312) 727-0290","42.381002","-71.0728589","Restaurants",
"Panera Bread","5","5 White St","Cambridge","MA","(617) 547-0816","42.3892321310081","-71.1180644385128","Restaurants",
"D'Angelo Grilled Sandwiches","332","332 N Main St","Randolph","MA","(781) 963-5176","42.168483","-71.04551","Restaurants",
"New England Soup Factory","244","244 Needham St Ste 4","Newton Upper Falls","MA","(617) 558-9988","42.3095189","-71.2142189","Restaurants",
"Not Your Average Joe's","90","90 Pleasant Valley St Ste 200","Methuen","MA","(978) 974-0015","42.7436254","-71.1583764","Restaurants",
"Cosi","100","100 Cambridgeside Pl","Cambridge","MA","(617) 812-4748","42.3684293","-71.0764537","Restaurants",
"Not Your Average Joe's","1138","1138 Worcester Rd","Framingham","MA","(508) 875-9929","42.29857","-71.443682","Restaurants",
"D'Angelo Grilled Sandwiches","290","290 Worcester Rd","Framingham","MA","(508) 626-0028","42.2981288","-71.4064415","Restaurants",
"D'Angelo Grilled Sandwiches","269","269 Western Ave","Allston","MA","(617) 783-6300","42.36353","-71.133076","Restaurants",
"D'Angelo Grilled Sandwiches","648","648 Pleasant St","Brockton","MA","(508) 427-9395","42.0885309","-71.045484","Restaurants",
"D'Angelo Grilled Sandwiches","211","211 North St","Foxboro","MA","(508) 543-2342","42.1027045","-71.2586316","Restaurants",
"D'Angelo Grilled Sandwiches","1440","1440 Pleasant St","Bridgewater","MA","(508) 697-7742","41.96796","-71.021808","Restaurants",
"D'Angelo Grilled Sandwiches","301","301 Mishawum Rd","Woburn","MA","(781) 933-3555","42.503483","-71.131979","Restaurants",
"Hale and Hearty Soup","185","185 Franklin St Ste 106","Boston","MA","(617) 330-1900","42.3554","-71.054818","Restaurants",
"Pizza Factory","36","36 Friend St Ste 1","Amesbury","MA","(978) 834-9991","42.85686","-70.932042","Pizza",
"D'Angelo Grilled Sandwiches","700","700 Atlantic Ave","Boston","MA","(617) 345-0382","42.3506503106807","-71.0562377224839","Restaurants",
"D'Angelo Grilled Sandwiches","3","3 Broad St","Bridgewater","MA","(508) 697-5500","41.990598","-70.975129","Restaurants",
"D'Angelo Grilled Sandwiches","45","45 Storey Ave","Newburyport","MA","(978) 465-5408","42.8198746","-70.9050381","Restaurants",
"D'Angelo Grilled Sandwiches","600","600 Page St","Avon","MA","(508) 580-8338","42.141851","-71.062028","Restaurants",
"D'Angelo Grilled Sandwiches","351","351 Turnpike St","Canton","MA","(781) 821-4140","42.1742803","-71.1123583","Restaurants",
"Pizza Factory","800","800 Islington St Unit 6","Portsmouth","NH","(603) 433-4449","43.0682479","-70.771387","Pizza",
"D'Angelo Grilled Sandwiches","2","2 Taunton St","Plainville","MA","(508) 695-6469","42.0081095","-71.3037228","Restaurants",
"D'Angelo Grilled Sandwiches","1955","1955 Woodbury Ave","Portsmouth","NH","(603) 431-9808","43.093807","-70.793441","Restaurants",
"D'Angelo Grilled Sandwiches","2021","2021 Revere Beach Pkwy","Everett","MA","(617) 387-7040","42.403347","-71.05468","Restaurants",
"D'Angelo Grilled Sandwiches","2137","2137 Central St","Stoughton","MA","(781) 341-1021","42.1343197","-71.1415612","Restaurants",
"Pizza Factory","535","535 Chickering Rd","North Andover","MA","(978) 682-0088","42.694526","-71.118949","Pizza",
"D'Angelo Grilled Sandwiches","1245","1245 Worcester St Ste 2012","Natick","MA","(508) 655-8279","42.3004711","-71.3857931","Restaurants",
"D'Angelo Grilled Sandwiches","210","210 Andover St Ste F107","Peabody","MA","(978) 977-3246","42.5413325","-70.9439351","Restaurants",
"D'Angelo Grilled Sandwiches","144","144 Market St","Rockland","MA","(781) 878-1030","42.122588","-70.9150639","Restaurants",
"D'Angelo Grilled Sandwiches","3020","3020 Cranberry Hwy","East Wareham","MA","(508) 273-0135","41.758649","-70.659717","Restaurants",
"D'Angelo Grilled Sandwiches","175","175 Littleton Rd","Westford","MA","(978) 392-9495","42.567998","-71.422793","Restaurants",
"D'Angelo Grilled Sandwiches","270","270 Hancock St","Quincy","MA","(617) 689-0522","42.277262","-71.029672","Restaurants",
"D'Angelo Grilled Sandwiches","422","422 W Grove St","Middleboro","MA","(508) 947-9622","41.896636","-70.948852","Restaurants",
"D'Angelo Grilled Sandwiches","385","385 Broadway","Saugus","MA","(781) 233-4419","42.486934","-71.018657","Restaurants",
"D'Angelo Grilled Sandwiches","286","286 W Main St","Marlborough","MA","(508) 485-8579","42.339096","-71.561354","Restaurants",
"D'Angelo Grilled Sandwiches","850","850 Harrison Ave","Boston","MA","(617) 534-0139","42.3354634","-71.074469","Restaurants",
"Panera Bread","19","19 Manchester Rd Ste B","Derry","NH","(603) 432-3056","42.897951","-71.331786","Restaurants",
"Panera Bread","115","115 Stuart St","Boston","MA","(617) 722-8234","42.351311","-71.065274","Restaurants",
"Panera Bread","4","4 Plaistow Rd Ste 16","Plaistow","NH","(603) 378-0374","42.816135","-71.104639","Restaurants",
"Panera Bread","700","700 Lafayette Rd Ste 702","Seabrook","NH","(603) 474-2020","42.8953557","-70.8708078","Restaurants",
"Panera Bread","46","46 Shops At 5 Way","Plymouth","MA","(508) 732-7282","41.930702","-70.654883","Restaurants",
"Panera Bread","687","687 Providence Hwy","Dedham","MA","(781) 493-6543","42.2410215579538","-71.1768591141099","Restaurants",
"D'Angelo Grilled Sandwiches","117","117 Mass Tpk W","Natick","MA","(781) 769-8828","42.1867","-71.20302","Restaurants",
"D'Angelo Grilled Sandwiches","49","49 River St","Waltham","MA","(781) 893-0034","42.36882","-71.217593","Restaurants",
"Not Your Average Joe's","210","210 Andover St Ste E139","Peabody","MA","(978) 531-6868","42.5413325","-70.9439351","Restaurants",
"Rondos Sub Shop","134","134 W Broadway","South Boston","MA","(617) 269-0274","42.341073","-71.053962","Restaurants",
"New England Soup Factory","140","140 Washington St Ste 1","Salem","MA","(978) 744-0444","42.520704","-70.895755","Restaurants",
"Pizza Factory","141","141 Newburyport Tpke","Rowley","MA","(978) 948-5060","42.702246","-70.9096189","Pizza",
"D'Angelo Grilled Sandwiches","250","250 Waverley St","Framingham","MA","(508) 879-1777","42.2781052893665","-71.4098353202099","Restaurants",
