Business Name,Physical Address Number,Physical Address,Physical City,Physical State,Phone,Latitude,Longitude,Primary SIC Description,
"Sweet Cheeks BBQ","1381","1381 Boylston St","Boston","MA","(617) 266-1300","42.343877","-71.101198","Restaurants",
"Haley House Bakery Cafe","12","12 Dade St","Roxbury","MA","(617) 445-0900","42.332034","-71.082518","Restaurants",
"Highland Kitchen","150","150 Highland Ave","Somerville","MA","(617) 625-1131","42.388102","-71.103247","Restaurants",
"Darryls Corner Bar","604","604 Columbus Ave","Boston","MA","(617) 536-1100","42.339761","-71.082403","Restaurants",
"Hen House","1033","1033 Massachusetts Ave","Boston","MA","(617) 442-9464","42.3271214","-71.0678717","Restaurants",
"Trinas Starlite Lounge","3","3 Beacon St","Somerville","MA","(617) 576-0006","42.3745326","-71.101498","Restaurants",
"JC Kitchen LLC","108","108 Oak St","Newton Upper Falls","MA","(617) 558-2888","42.309146","-71.219951","Restaurants",
"State Park","1","1 Kendall Sq Ste B3001","Cambridge","MA","(617) 848-4355","42.3670663","-71.0905674","Restaurants",
"Southern Kin Cookhouse","500","500 Assembly Row","Somerville","MA","(617) 764-5966","42.3941755849088","-71.0793297422214","Restaurants",
"La Brasa","124","124 Broadway","Somerville","MA","(617) 764-1412","42.3877062","-71.0846367","Restaurants",
"Smash Soul Food","1201","1201 Broadway","Saugus","MA","(781) 813-3460","42.4612977","-71.0278527","Restaurants",
"Elite Garage NE","60","60 Rockingham Rd Unit 3","Windham","NH","(855) 354-8363","42.820221","-71.251106","Restaurants",
"Smitty Plus 3 Soulfood Restaurant","622","622 Dudley St","Dorchester","MA","(857) 939-9963","42.320095","-71.070917","Restaurants",
"Southern Proper","600","600 Harrison Ave","Boston","MA","(857) 233-2421","42.3400366","-71.0677728","Restaurants",
"Blue Ribbon Barbecue Inc","1375","1375 Washington St","West Newton","MA","(617) 332-2583","42.3487164","-71.2293325","Restaurants",
"Silver Slipper Restaurant","2387","2387 Washington St","Roxbury","MA","(617) 442-4853","42.329222","-71.085074","Restaurants",
"Portofinos Italian Kitchen Inc","396","396 Brockton Ave","Abington","MA","(781) 681-6601","42.1009155","-70.9587026","Restaurants",
"Honey Dew Donut","375","375 Neponset St","Canton","MA","(781) 562-1571","42.1598728","-71.1555071","Restaurants",
"Halfway Cafe","174","174 Washington St","Dedham","MA","(781) 326-3336","42.2531","-71.166947","Restaurants",
"Oasis Cafe & Bakery","377","377 Main St","Medford","MA","(781) 306-9611","42.4050657188957","-71.1080905483367","Restaurants",
"Brothers Deli & Restaurant","1638","1638 Blue Hill Ave","Mattapan","MA","(617) 298-5224","42.268309","-71.093449","Restaurants",
"Pit Stop Barbeque","888","888 Morton St","Mattapan","MA","(617) 436-0485","42.280991","-71.08407","Restaurants",
"Easter Country Kitchen","1385","1385 Washington St","East Weymouth","MA","(781) 337-4123","42.19344","-70.919667","Restaurants",
"M & M Ribs","155","155 Southampton St","Boston","MA","(617) 306-0788","42.3311072","-71.0671275","Restaurants",
"Poboys And Pies","101","101 Lafayette St","Salem","MA","(978) 224-2922","42.518299","-70.89301","Restaurants",
