Business Name,Physical Address Number,Physical Address,Physical City,Physical State,Phone,Latitude,Longitude,Primary SIC Description,
"Magnolia Smokehouse","6","6 Harvard Sq","Brookline","MA","(617) 566-3782","42.3331176","-71.1184866","Restaurants",
"Howling Wolf Taqueria","76","76 Lafayette St Ste 4b","Salem","MA","(978) 744-9653","42.519243","-70.893566","Restaurants",
"Masa Restaurant","439","439 Tremont St","Boston","MA","(617) 338-8884","42.346789","-71.069416","Restaurants",
"La Paloma Mexican Food","195","195 Newport Ave Ste 4","Quincy","MA","(617) 773-0512","42.269066","-71.0239299","Restaurants",
"Rudys Cafe","248","248 Holland St","Somerville","MA","(617) 623-9201","42.403086","-71.127239","Restaurants",
"Ideas In Taste","3","3 Hampton Rd","Norfolk","MA","(508) 520-3790","42.097661","-71.3490238","Restaurants",
"El Tapatio Mexican Restaurant","300","300 Newburyport Tpke Ste 5","Rowley","MA","(978) 432-1336","42.71301","-70.907712","Restaurants",
"Zumas Tex Mex Grill","7","7 N Market St","Boston","MA","(617) 367-9114","42.3597457390144","-71.0557699984186","Restaurants",
"Fajitas & Ritas Restaurant","25","25 West St Lbby 1","Boston","MA","(617) 426-1222","42.3549031","-71.0624138","Restaurants",
"Grande Mexico","108","108 Plaistow Rd","Haverhill","MA","(978) 521-7500","42.814355","-71.102877","Restaurants",
