Business Name,Physical Address Number,Physical Address,Physical City,Physical State,Phone,Latitude,Longitude,Primary SIC Description,
"Dali Restaurant","415","415 Washington St","Somerville","MA","(617) 661-3254","42.378377","-71.106853","Restaurants",
"Pollo Tipico","190","190 Lawrence St","Lawrence","MA","(978) 975-8013","42.7157513392558","-71.1651302838737","Restaurants",
"Toro","1704","1704 Washington St","Boston","MA","(617) 536-4300","42.336966","-71.075918","Restaurants",
"Merengue Restaurant","156","156 Blue Hill Ave","Roxbury","MA","(617) 445-5403","42.31919","-71.077545","Restaurants",
"La Morra","48","48 Boylston St","Brookline","MA","(617) 739-0007","42.331178","-71.118838","Restaurants",
"Cove Habor Bar & Restaurant","124","124 Elm St","Cohasset","MA","(781) 383-6650","42.2402621","-70.7945117","Restaurants",
"Ole Mexican Grille","11","11 Springfield St","Cambridge","MA","(617) 492-4495","42.374065","-71.100144","Restaurants",
"Tasca Spanish Tapas Restaurant & Bar","1612","1612 Commonwealth Ave","Brighton","MA","(617) 730-8002","42.3433457","-71.1426515","Restaurants",
"Middlesex Lounge Restaurant","315","315 Massachusetts Ave","Cambridge","MA","(617) 868-6739","42.3625397","-71.0984529","Restaurants",
"La Lechonera Cafe","342","342 Cummins Hwy","Roslindale","MA","(617) 323-0311","42.2788009","-71.1160304","Restaurants",
"Lollys Bakery","16","16 Cottage St","Lynn","MA","(781) 586-9400","42.458988","-70.971115","Restaurants",
"Bistro 45","45","45 Wingate St","Haverhill","MA","(978) 469-9700","42.773803","-71.084976","Restaurants",
"Tico Boston","222","222 Berkeley St","Boston","MA","(617) 351-0400","42.350664","-71.073352","Restaurants",
"Cafe El Molino Restaurant","937","937 Western Ave","Lynn","MA","(781) 599-5800","42.456894","-70.972517","Restaurants",
"Estragon","700","700 Harrison Ave Unit 109","Boston","MA","(617) 266-0443","42.338359","-71.070288","Restaurants",
"Barcelona Wine Bar","1700","1700 Beacon St","Brookline","MA","(617) 264-8900","42.338825","-71.138865","Restaurants",
"La Tambora Restaurant","205","205 Broadway Ste 5","Lawrence","MA","(978) 689-8553","42.707667","-71.170045","Restaurants",
"Pintxo Pincho Tapas Bar","385","385 Main St","Woburn","MA","(781) 932-1379","42.479949","-71.151574","Restaurants",
"Casa B","253","253 Washington St","Somerville","MA","(617) 764-2180","42.379769","-71.094374","Restaurants",
"Gustazo Cuban Cafe","663","663 Main St","Waltham","MA","(781) 209-0607","42.3764761","-71.2367442","Restaurants",
"Tres Gatos","470","470 Centre St","Jamaica Plain","MA","(617) 477-4851","42.319089","-71.111636","Restaurants",
"La Morena Restaurant","577","577 Western Ave","Lynn","MA","(781) 842-2371","42.4670833","-70.9604195","Restaurants",
"404 Bar Tapas Lounge","404","404 Harvard St","Brookline","MA","(617) 383-6268","42.345036","-71.126841","Restaurants",
"Fromage","401","401 W Broadway","South Boston","MA","(617) 464-4300","42.337003","-71.048431","Restaurants",
"Bocado Inc","45","45 Church St","Wellesley","MA","(781) 772-2390","42.2959198","-71.2951262","Restaurants",
"Alden and Harlow","40","40 Brattle St","Cambridge","MA","(617) 864-2100","42.373455","-71.1216785","Restaurants",
"Montecristo Mexican Grill","364","364 Broadway","Revere","MA","(781) 629-3727","42.40961","-71.012866","Restaurants",
"Tapas 529","529","529 Franklin St","Melrose","MA","(781) 590-4916","42.4689335","-71.0691347","Restaurants",
"McCabe's on Mass","2046","2046 Massachusetts Ave","Cambridge","MA","(617) 945-7115","42.3907611","-71.1226123","Restaurants",
"La Fabrica Central","450","450 Massachusetts Ave","Cambridge","MA","(857) 706-1125","42.3635189","-71.101074","Restaurants",
"MI Pilon Restaurant Inc","491","491 Blue Hill Ave","Dorchester","MA","(617) 238-5439","42.3083673","-71.0836112","Restaurants",
"La Esquina Restaurant","624","624 Blue Hill Ave","Dorchester","MA","(617) 822-0200","42.3028961","-71.0850197","Restaurants",
"Rompe Dieta","14","14 Hancock St","Dorchester","MA","(617) 506-1131","42.3152586","-71.0658862","Restaurants",
"Liv Creative Cuisine","1849","1849 Ocean St Ste 11","Marshfield","MA","(781) 837-2900","42.091787","-70.703406","Restaurants",
"Tasca","1612","1612 Commonwealth Ave","Brighton","MA","(617) 730-8002","42.3433457","-71.1426515","Restaurants",
"Rancho Las Pupusas","36","36 2nd St","Chelsea","MA","(617) 884-1893","42.390386","-71.039957","Restaurants",
"L C Spanish Restaurant","128","128 Harvard St","Dorchester Center","MA","(617) 514-6620","42.2963973","-71.0798612","Restaurants",
"Taberna De Hair","999","999 Beacon St","Brookline","MA","(617) 277-8272","42.345725","-71.106748","Restaurants",
"Amaia Martini Bar","174","174 Main St","Hudson","MA","(978) 567-9779","42.3915331","-71.5645762","Restaurants",
"Buena Vista Restaurant","526","526 Main St","Brockton","MA","(508) 580-7745","42.074919","-71.018775","Restaurants",
"Bond","250","250 Franklin St","Boston","MA","(617) 451-1900","42.356359","-71.054759","Restaurants",
"El Santaneco","24","24 5th St","Chelsea","MA","(617) 884-5005","42.393257","-71.03493","Restaurants",
"Backbar","9","9 Sanborn Ct","Somerville","MA","(617) 718-0249","42.379720592269","-71.0944409834424","Restaurants",
"Tropical Island","148","148 Bowdoin St","Dorchester","MA","(617) 265-0310","42.3038573","-71.0711312","Restaurants",
"Cabana Grill","254","254 Bennington St","East Boston","MA","(617) 561-0833","42.378608","-71.029357","Restaurants",
"La Diferencia Restaurant","192","192 Middlesex St","Lowell","MA","(978) 454-6919","42.6407209","-71.3119283","Restaurants",
"Wrapture","280","280 Cabot St","Beverly","MA","(978) 524-7710","42.551082","-70.878644","Restaurants",
"Bani Restaurant","681","681 Merrimack St","Lowell","MA","(978) 458-6384","42.6485086","-71.3189714","Restaurants",
"Barcelona Wine Bar","525","525 Tremont St","Boston","MA","(617) 266-2600","42.3448613","-71.0709862","Restaurants",
"Exchange Street Bistro","67","67 Exchange St","Malden","MA","(781) 322-0071","42.426552","-71.069472","Restaurants",
"Lollys Bakery","158","158 Bennington St","East Boston","MA","(617) 567-9461","42.3771533","-71.0333713","Restaurants",
"Nos Casa","475","475 Dudley St Ste A","Roxbury","MA","(617) 606-7060","42.323227","-71.073707","Restaurants",
"Delicias Paisas Bakery","24","24 Pleasant St","Lowell","MA","(978) 970-5555","42.6412327449923","-71.3006760597701","Restaurants",
"El Tipico Restaurant","147","147 Lawrence St","Lawrence","MA","(978) 975-3715","42.714816","-71.1639242","Restaurants",
"Taqueria Tapatillo","82","82 Broadway","Somerville","MA","(617) 625-4119","42.386971","-71.082102","Restaurants",
