Business Name,Physical Address Number,Physical Address,Physical City,Physical State,Phone,Latitude,Longitude,Primary SIC Description,
"Chili's Grill & Bar","107","107 Taunton St","Plainville","MA","(508) 695-5105","42.032601","-71.311904","Restaurants",
"Chili's Grill & Bar","257","257 Hartford Ave","Bellingham","MA","(508) 966-3439","42.1150030858914","-71.4610866766972","Restaurants",
"Ole Mexican Grille","11","11 Springfield St","Cambridge","MA","(617) 492-4495","42.374065","-71.100144","Restaurants",
"Zuma TexMex","7","7 N Market St","Boston","MA","(617) 367-9114","42.3597457390144","-71.0557699984186","Restaurants",
"Rostiria Cancun","145","145 Meridian St","East Boston","MA","(617) 567-1633","42.3737074","-71.0388742","Restaurants",
"Chili's Grill & Bar","1040","1040 Revere Beach Pkwy","Chelsea","MA","(617) 884-7960","42.4040629","-71.0219174","Restaurants",
"Chili's Grill & Bar","403","403 Lafayette Rd","Seabrook","NH","(603) 474-3597","42.885742","-70.870217","Restaurants",
"Chili's Grill & Bar","2885","2885 Cranberry Hwy","East Wareham","MA","(508) 295-2800","41.759447","-70.66834","Restaurants",
"Chili's Grill & Bar","726","726 W Center St","West Bridgewater","MA","(508) 427-9906","42.011256","-71.051251","Restaurants",
"Chili's Grill & Bar","70","70 Walkers Brook Dr","Reading","MA","(781) 942-4670","42.518674","-71.091925","Restaurants",
"Beantown Taqueria","245","245 Massachusetts Ave","Cambridge","MA","(617) 441-8689","42.3617376","-71.0971191","Restaurants",
"El Tapatio Mexican Restaurant","300","300 Newburyport Tpke Ste 5","Rowley","MA","(978) 432-1336","42.71301","-70.907712","Restaurants",
"Pancho's Taqueria","551","551 High St","Dedham","MA","(781) 329-9468","42.2482577","-71.1727557","Restaurants",
"Tex Mex Eats","1193","1193 Cambridge St","Cambridge","MA","(617) 714-3393","42.3734044","-71.0972035","Restaurants",
"Zumas Tex Mex Grill","7","7 N Market St","Boston","MA","(617) 367-9114","42.3597457390144","-71.0557699984186","Restaurants",
"Ixtapa Mexican Restaurant","349","349 Main St","Woburn","MA","(781) 759-1250","42.4792911","-71.1515612","Restaurants",
"Sol Azteca","914A","914a Beacon St","Boston","MA","(617) 262-0909","42.3465625667933","-71.1061374793313","Restaurants",
"Fajitas & Ritas Restaurant","25","25 West St Lbby 1","Boston","MA","(617) 426-1222","42.3549031","-71.0624138","Restaurants",
"Chili's Grill & Bar","170","170 Pearl St","Braintree","MA","(781) 849-6151","42.203649","-71.000744","Restaurants",
"Purple Cactus Barito & Wrap","674","674 Centre St","Jamaica Plain","MA","(617) 522-7422","42.312144","-71.113947","Restaurants",
"Sweetgreen","13","13 School St","Boston","MA","(857) 317-4949","42.357707","-71.058712","Restaurants",
"Joses Mexican Restauarant","131","131 Sherman St","Cambridge","MA","(617) 354-0335","42.390201","-71.13283","Restaurants",
"Boca Grande","149","149 1st St","Cambridge","MA","(617) 354-5550","42.366409","-71.078213","Restaurants",
"Viva Burrito","66","66 Staniford St","Boston","MA","(617) 523-6390","42.363176","-71.064345","Restaurants",
"Acapulco Mexican Restaurant Y Cantina","464","464 Centre St","Jamaica Plain","MA","(617) 524-4328","42.3192873","-71.1116112","Restaurants",
"Alamo Cafe Inc","49","49 Legion Pkwy","Brockton","MA","(508) 583-1050","42.0843098","-71.0211153","Restaurants",
"Baja Bettys Burritos","3","3 Harvard Sq","Brookline","MA","(617) 277-8900","42.332987","-71.118522","Restaurants",
"Taqueria Cancun","192","192 Sumner St","East Boston","MA","(617) 567-4449","42.369262","-71.040162","Restaurants",
"J S Flying Pizza","815","815 South St","Bridgewater","MA","(508) 697-8631","41.968459","-70.982762","Restaurants",
