Business Name,Physical Address Number,Physical Address,Physical City,Physical State,Phone,Latitude,Longitude,Primary SIC Description,
"Myers & Chang","1145","1145 Washington St Ste 1","Boston","MA","(617) 542-5200","42.343871","-71.066367","Restaurants",
"Sian Ginger","22","22 Bow St Ste 1","Somerville","MA","(617) 625-5015","42.380836","-71.097376","Restaurants",
"Dagostinos Delicatessen","11","11 Waterfield Rd","Winchester","MA","(781) 729-7984","42.451519","-71.1384521","Restaurants",
"Patou Thai","69","69 Leonard St","Belmont","MA","(617) 489-6999","42.397736","-71.174893","Restaurants",
"Lims Sports Bar","7","7 Veterans Memorial Pkwy","Salem","NH","(603) 893-9124","42.769961","-71.218608","Restaurants",
"Cha Yen Thai Cookery","613","613 Mount Auburn St","Watertown","MA","(617) 393-0031","42.3706896","-71.1584113","Restaurants",
"Chili Thai Bistro","1799","1799 Commonwealth Ave","Brighton","MA","(617) 254-2254","42.3406908","-71.1517317","Restaurants",
"Lanxang Star","1734","1734 Lakeview Ave","Dracut","MA","(978) 677-6126","42.678376","-71.342202","Restaurants",
"Chiang Mai Thai Cambridge Inc","100","100 Cambridgeside Pl","Cambridge","MA","(617) 577-0250","42.3684293","-71.0764537","Restaurants",
"Pranom Saard Thai Corporation","1699","1699 Shawsheen St","Tewksbury","MA","(978) 455-8088","42.621552","-71.183455","Restaurants",
"Tiger Mama","1363","1363 Boylston St","Boston","MA","(617) 425-6262","42.3445864","-71.100657","Restaurants",
"Thana Thai Kitchen","882","882 Massachusetts Ave","Arlington","MA","(781) 648-8888","42.417276","-71.163884","Restaurants",
"Green Basil Restaurant","383","383 Main St","Woburn","MA","(781) 933-9888","42.47991","-71.1516597","Restaurants",
"Thai Hut","93","93 Beacon St","Somerville","MA","(617) 492-8377","42.377303","-71.104908","Restaurants",
"Siam First Inc","1616","1616 Main St","South Weymouth","MA","(781) 340-3899","42.148976","-70.9545909","Restaurants",
"S & I To Go","168","168 Brighton Ave Ste A","Allston","MA","(617) 254-8488","42.3529194","-71.1329305","Restaurants",
"Sei Bar","916","916 Broadway","Everett","MA","(617) 381-1880","42.420921","-71.043885","Restaurants",
"Spice Thai Kitchen","15","15 Depot Sq","Ipswich","MA","(978) 356-1828","42.679086","-70.840435","Restaurants",
"Amarin of Thai","287","287 Centre St","Newton","MA","(617) 527-5255","42.3581457","-71.1851466","Restaurants",
"Rice Cube Thai Kitchen","397","397 Lowell St","Lexington","MA","(781) 860-9088","42.44893","-71.198568","Restaurants",
"Hang Tai Too","75","75 Main St","Medway","MA","(508) 533-8828","42.151665","-71.409456","Restaurants",
"Vohns Restaurant","633","633 Pulaski Blvd","Bellingham","MA","(508) 883-4934","42.032745","-71.484156","Restaurants",
"Wild Ginger Thai Cuisine","124","124 Washington St","Norwell","MA","(781) 347-4687","42.17017","-70.877101","Restaurants",
"House of Siam on Tremont","592","592 Tremont St Ste 1","Boston","MA","(617) 267-7426","42.342936","-71.07302","Restaurants",
"Pho & Thai","63","63 White St","Belmont","MA","(617) 484-1118","42.386965","-71.189104","Restaurants",
"9 Tastes Thai Cuisine","50","50 Jfk St Ste 1","Cambridge","MA","(617) 547-6666","42.371961","-71.120355","Restaurants",
"Pepper Skys Thai Sensation","20","20 Pearl St","Cambridge","MA","(617) 492-2541","42.3642154","-71.1029157","Restaurants",
"Mapow","147","147 Bridge Rd Ste 1","Salisbury","MA","(978) 499-7795","42.8205641","-70.8665873","Restaurants",
"Maung Thai Restaurant","74","74 North St","Hingham","MA","(781) 740-1218","42.242931","-70.887107","Restaurants",
"Ruby Thai","250","250 Granite St Ste 89","Braintree","MA","(781) 356-7888","42.2220443","-71.0227762","Restaurants",
"Newrod-Dee Thai Cuisine","1680A","1680a Beacon St","Brookline","MA","(617) 738-1455","42.33861","-71.1368959","Restaurants",
"Nisas Thai","622","622 Washington St","Canton","MA","(781) 821-6986","42.154195","-71.146055","Restaurants",
"Wok & Talk","23","23 S Huntington Ave","Jamaica Plain","MA","(617) 487-8262","42.331341","-71.112063","Restaurants",
"Tungs Taste","242","242 S Main St","Middleton","MA","(978) 777-8298","42.576988","-70.9967209","Restaurants",
"Zuzu's Cafe & Catering","316","316 Main St","Wakefield","MA","(781) 245-3035","42.505294","-71.071203","Restaurants",
"UND Kitchen","184","184 High St Lbby 1","Boston","MA","(617) 338-8999","42.356676","-71.052569","Restaurants",
"Red Sugar","24","24 Vernon St","Wakefield","MA","(781) 587-0346","42.503556","-71.067217","Restaurants",
"Thelonious Monkfish","524","524 Massachusetts Ave","Cambridge","MA","(617) 441-2116","42.364167","-71.10212","Restaurants",
"Putachard Thai Restaurant","594","594 Route 288","Lynnfield","MA","(508) 790-1957","42.52567","-71.02692","Restaurants",
"Thai Chili Basil","454","454 Franklin St","Melrose","MA","(781) 662-9888","42.4685945","-71.0682696","Restaurants",
"Phon Rice Restaurant","289","289 Beacon St","Somerville","MA","(617) 864-8888","42.3836316","-71.1127122","Restaurants",
"Tree Top Thai Cuisine","53","53 Prospect St","Waltham","MA","(781) 894-3444","42.374058","-71.246703","Restaurants",
"Viet-Thai Restaurant","368","368 Merrimack St","Lowell","MA","(978) 446-0977","42.645907","-71.314217","Restaurants",
