Business Name,Physical Address Number,Physical Address,Physical City,Physical State,Phone,Latitude,Longitude,Primary SIC Description,
"Craigie On Main Restaurant & Bar","853","853 Main St","Cambridge","MA","(617) 497-5511","42.36353","-71.098626","Restaurants",
"Noon Hill Grill","530","530 Main St","Medfield","MA","(508) 359-9155","42.185647","-71.307893","Restaurants",
"Friendly Toast","1","1 Kendall Sq Ste B3101","Cambridge","MA","(617) 621-1200","42.3670663","-71.0905674","Restaurants",
"Shalimar India Food & Spices","571","571 Massachusetts Ave","Cambridge","MA","(617) 868-8311","42.364947","-71.102321","Restaurants",
"LE's Restaurant","36","36 Jfk St","Cambridge","MA","(617) 864-4100","42.3727788","-71.1197524","Restaurants",
"A Perfect Taste","530","530 Washington St","Stoughton","MA","(781) 297-7995","42.131471","-71.10129","Restaurants",
"Walnut Grille","1203","1203 Walnut St","Newton Highlands","MA","(617) 964-1029","42.320614","-71.2056","Restaurants",
"Cha Yen Thai Cookery","613","613 Mount Auburn St","Watertown","MA","(617) 393-0031","42.3706896","-71.1584113","Restaurants",
"India Pavilion Restaurant","17","17 Central Sq","Cambridge","MA","(617) 547-7463","42.365405","-71.104795","Restaurants",
"Tikki Masala","3706","3706 Washington St","Jamaica Plain","MA","(617) 942-2966","42.30036","-71.112971","Restaurants",
"Gulu-Gulu Cafe","247","247 Essex St Ste 1","Salem","MA","(978) 740-8882","42.5209321","-70.8958789","Restaurants",
"Masala Art","990","990 Great Plain Ave","Needham","MA","(781) 449-4050","42.279932","-71.236521","Restaurants",
"Anmol Indian Restaurant","258","258 Rantoul St","Beverly","MA","(978) 232-9009","42.5500609","-70.883751","Restaurants",
"Minerva Indian Cuisine","500","500 Boston Providence Tpke","Norwood","MA","(508) 653-2000","42.1954232","-71.1837801","Restaurants",
"Ponzu Fine Dining","286","286 Moody St","Waltham","MA","(781) 736-9188","42.37126","-71.236805","Restaurants",
"Cottage Wellesley","190","190 Linden St","Wellesley","MA","(781) 239-1100","42.300648","-71.291501","Restaurants",
"City Feed & Supply Inc","672","672 Centre St","Jamaica Plain","MA","(617) 524-1700","42.3123819","-71.1139696","Restaurants",
"Cafe St Petersburg","57","57 Union St","Newton Center","MA","(617) 467-3555","42.3299091","-71.1923177","Restaurants",
"9 Tastes Thai Cuisine","50","50 Jfk St Ste 1","Cambridge","MA","(617) 547-6666","42.371961","-71.120355","Restaurants",
"Hunan Kitchen","799","799 S Main St Ste 7","Bellingham","MA","(508) 883-2088","42.051138","-71.484466","Restaurants",
"Ritu Ki Rasoi","207","207 Cambridge St","Burlington","MA","(781) 229-8349","42.511055","-71.201399","Restaurants",
"Shiraz Cuisine","72","72 Bigelow Ave","Watertown","MA","(617) 923-2222","42.368411","-71.157181","Restaurants",
"Burtons Grill","210","210 Andover St Ste Ll23","Peabody","MA","(978) 977-0600","42.5413325","-70.9439351","Restaurants",
"Oregano's","16","16 Pleasant St","Newburyport","MA","(978) 462-5013","42.810526","-70.870819","Restaurants",
"Grasshopper Restaurant","1","1 N Beacon St","Allston","MA","(617) 254-8883","42.3537844","-71.1374612","Restaurants",
"Kareem Restaurant","99","99 Common St","Watertown","MA","(617) 393-1880","42.371499","-71.178618","Restaurants",
"Mediterranean Healthy Meal","43","43 Bowdoin St Ste A","Boston","MA","(617) 535-5300","42.359728","-71.063059","Restaurants",
"Veggie Galaxy","450","450 Massachusetts Ave Ste 2","Cambridge","MA","(617) 497-1513","42.3635189","-71.101074","Restaurants",
"Cottage","47","47 Boylston St","Chestnut Hill","MA","(617) 916-5413","42.3225967","-71.1699838","Restaurants",
"Coconut Cafe","759","759 Beacon St","Newton Center","MA","(617) 244-7050","42.3307223","-71.1916944","Restaurants",
"Life Alive","281","281 Essex St Unit C1","Salem","MA","(978) 594-4644","42.5212337","-70.8974342","Restaurants",
"Susty's Cafe","159","159 1st Nh Tpke","Northwood","NH","(603) 942-5862","43.193908","-71.150186","Restaurants",
"Pink Bamboo Hotpot Cafe","128","128 Penhallow St","Portsmouth","NH","(603) 319-8809","43.0780918","-70.7571522","Restaurants",
"Bueno Y Sano","263","263 Main St","Acton","MA","(978) 263-9200","42.474627","-71.453644","Restaurants",
"Mystic Station LLC","139","139 Pleasant St","Malden","MA","(781) 480-3166","42.4273398","-71.0709229","Restaurants",
"Gungi Fine Japanese Cuisine","114","114 Pleasant St","Marblehead","MA","(781) 631-0805","42.501715","-70.856648","Restaurants",
"Shan-A-Punjab","500","500 Harvard St","Brookline","MA","(617) 734-9000","42.347927","-71.129475","Restaurants",
"Greenleif","62","62 Water St","Framingham","MA","(508) 309-3009","42.325997","-71.403823","Restaurants",
"Veggie Grill","57","57 Jfk St","Cambridge","MA","(617) 430-4004","42.37212","-71.120892","Restaurants",
"Manos Pizza","5","5 Haverhill St","Methuen","MA","(978) 975-3999","42.704706","-71.190555","Restaurants",
"Helmand Restaurant","143","143 1st St","Cambridge","MA","(617) 492-4646","42.366451","-71.078084","Restaurants",
"Pho Lemongrass","239","239 Harvard St","Brookline","MA","(617) 731-8600","42.341174","-71.120825","Restaurants",
"Locals North Hill Restaurant & Pub","215","215 Lafayette Rd","North Hampton","NH","(603) 379-2729","42.9989375","-70.8123118","Restaurants",
