Business Name,Physical Address Number,Physical Address,Physical City,Physical State,Phone,Latitude,Longitude,Primary SIC Description,
"Les Vietnamese","35","35 Dunster St","Cambridge","MA","(617) 864-4100","42.372487033881","-71.1194067380245","Restaurants",
"Catalyst Restaurant","300","300 Technology Sq Ste 3","Cambridge","MA","(617) 576-3000","42.363419","-71.0915179","Restaurants",
"Raso's Bar and Grille","209","209 Mystic Ave","Medford","MA","(781) 396-2001","42.407715","-71.103876","Restaurants",
"LE's Restaurant","36","36 Jfk St","Cambridge","MA","(617) 864-4100","42.3727788","-71.1197524","Restaurants",
"Ole Mexican Grille","11","11 Springfield St","Cambridge","MA","(617) 492-4495","42.374065","-71.100144","Restaurants",
"Lims Sports Bar","7","7 Veterans Memorial Pkwy","Salem","NH","(603) 893-9124","42.769961","-71.218608","Restaurants",
"PHO Bistro","255","255 Main St","Medford","MA","(781) 321-9950","42.409989","-71.11029","Restaurants",
"Lil Tokoyo and Siagon","2800","2800 Lafayette Rd","Portsmouth","NH","(603) 427-8676","43.029161","-70.790611","Restaurants",
"N & H Saigon Sub","1185","1185 N Main St","Randolph","MA","(781) 963-8800","42.195805","-71.060619","Restaurants",
"Anh Hong","291","291 Adams St","Dorchester","MA","(617) 265-8889","42.2991973","-71.0581812","Restaurants",
"Pho Da Lat Restaurant","1575","1575 Middlesex St","Lowell","MA","(978) 275-0022","42.6367059","-71.348347","Restaurants",
"Saigon Seafood Restaurant","270","270 Adams St","Dorchester","MA","(617) 265-1008","42.299971","-71.0585569","Restaurants",
"163 Vietnam Sandwich","66","66 Harrison Ave","Boston","MA","(617) 542-7903","42.351287","-71.061052","Restaurants",
"Phon Rice Restaurant","289","289 Beacon St","Somerville","MA","(617) 864-8888","42.3836316","-71.1127122","Restaurants",
"Viet-Thai Restaurant","368","368 Merrimack St","Lowell","MA","(978) 446-0977","42.645907","-71.314217","Restaurants",
"Pho Dalat","131","131 Drum Hill Rd","Chelmsford","MA","(978) 710-7636","42.623484","-71.3652819","Restaurants",
"Green Tea Cafe","1899","1899 Main St Ste 2","Tewksbury","MA","(978) 455-3209","42.590703","-71.20533","Restaurants",
"Mekong Restaurant","378","378 Broadway St","Lowell","MA","(978) 441-6353","42.64373","-71.321475","Restaurants",
"Green Papaya","475","475 Winter St Ste 1","Waltham","MA","(781) 487-9988","42.398211","-71.263994","Restaurants",
"Amphora Restaurant","55","55 Crystal Ave Unit 3","Derry","NH","(603) 537-0111","42.892457","-71.323592","Restaurants",
"Bana MI Ngon","1759","1759 Centre St","West Roxbury","MA","(617) 325-0946","42.287484","-71.150644","Restaurants",
"Beantown Pho and Grill","272","272 Newbury St","Boston","MA","(857) 239-9436","42.349122","-71.083425","Restaurants",
"Saigon Noodles","144","144 Harvey Rd","Londonderry","NH","(603) 264-3420","42.928684","-71.423452","Restaurants",
"Gigi's Restaurant","177","177 Main St","Maynard","MA","(978) 793-8684","42.430572","-71.461477","Restaurants",
"Pho 98 Cuisine","92","92 N Main St","Randolph","MA","(781) 963-1899","42.164416233244","-71.0427632994895","Restaurants",
"Cilantro Thai & Vietnamese Cuisine","383","383 Main St","Woburn","MA","(781) 933-9888","42.47991","-71.1516597","Restaurants",
"New Saigon","985","985 Bennington St","East Boston","MA","(617) 561-6500","42.386287","-71.007256","Restaurants",
"Noodle Barn","707","707 Centre St","Jamaica Plain","MA","(617) 522-2299","42.31143","-71.114661","Restaurants",
